Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State ,Listing Price (USD),Year
Alubat,Ovni 395,41,Europe,France,267233,2005
Bavaria,38 Cruiser,38,Europe,Croatia,75178,2005
Bavaria,38 Cruiser,38,Europe,Croatia,66825,2005
Bavaria,38 Cruiser,38,Europe,Croatia,54661,2005
Bavaria,38 Cruiser ,38,Europe,Croatia,53447,2005
Bavaria,38 Cruiser,38,Europe,Greece,91101,2005
Bavaria,39 Cruiser,39,Europe,Greece,66748,2005
Bavaria,42 Match,41,Europe,Croatia,78945,2005
Bavaria,42 Match,41,Europe,Croatia,58297,2005
Bavaria,42 Cruiser,42,Europe,Croatia,112906,2005
Bavaria,42 Cruiser,42,Europe,Italy,95961,2005
Bavaria,42 Cruiser,42,Europe,Italy,94746,2005
Bavaria,42 Cruiser,42,Europe,Italy,91102,2005
Bavaria,Cruiser 46,46,Europe,Croatia,101063,2005
Bavaria,Cruiser 46,46,Europe,Croatia,91106,2005
Bavaria,Cruiser 46,46,Europe,Croatia,84907,2005
Bavaria,Cruiser 46,46,Europe,Croatia,84786,2005
Bavaria,Cruiser 46,46,Europe,Greece,133651,2005
Bavaria,Cruiser 46,46,Europe,Greece,109338,2005
Bavaria,Cruiser 46,46,Europe,Greece,105705,2005
Bavaria,Cruiser 46,46,Europe,Greece,103253,2005
Bavaria,Cruiser 46,46,Europe,Greece,96933,2005
Bavaria,Cruiser 46,46,Europe,Italy,115396,2005
Bavaria,Cruiser 46,46,Europe,Italy,103249,2005
Bavaria,Cruiser 46,46,Europe,Netherlands,133015,2005
Bavaria,Cruiser 46,46,Europe,Spain,145769,2005
Bavaria,50 Cruiser,49,Europe,Croatia,103249,2005
Bavaria,50 Cruiser,49,Europe,Greece,109323,2005
Bavaria,50 Cruiser,49,Europe,Italy,151843,2005
Bavaria,50 Cruiser,49,Europe,Italy,136896,2005
Bavaria,49 Cruiser,50,Europe,Croatia,103249,2005
Bavaria,49 Cruiser,50,Europe,Spain,145744,2005
Beneteau,First 40.7,39,Europe,Croatia,157889,2005
Beneteau,Cyclades 39.3,39,USA,Florida,72900,2005
Beneteau,Cyclades 39.3 ,39,Europe,Greece,78975,2005
Beneteau,First 40.7,39,USA,Illinois,124500,2005
Beneteau,Cyclades 39.3 ,39,Europe,Italy,103275,2005
Beneteau,Cyclades 39.3 ,39,Europe,Italy,82620,2005
Beneteau,Cyclades 39.3,39,Caribbean,Mexico,99000,2005
Beneteau,Cyclades 39.3 ,39,Europe,Portugal,101427,2005
Beneteau,Cyclades 39.3 ,39,Europe,Spain,108108,2005
Beneteau,Cyclades 39.3 ,39,Europe,Spain,103249,2005
Beneteau,Cyclades 39.3 ,39,Europe,United Kingdom,95860,2005
Beneteau,Oceanis 423,43,USA,Connecticut,139995,2005
Beneteau,Cyclades 43.3,43,Europe,France,108108,2005
Beneteau,Cyclades 43.3,43,Europe,France,106519,2005
Beneteau,Cyclades 43.3,43,Europe,France,95961,2005
Beneteau,Oceanis Clipper 423,43,Europe,Greece,103921,2005
Beneteau,Oceanis Clipper 423,43,Europe,Italy,91090,2005
Beneteau,Oceanis Clipper 423,43,Europe,Malta,127526,2005
Beneteau,Oceanis 423,43,USA,Maryland,147900,2005
Beneteau,Oceanis 43,43,USA,Maryland,144900,2005
Beneteau,Oceanis Clipper 423,43,Europe,Netherlands,108108,2005
Beneteau,Cyclades 43.3,43,Europe,Portugal,101792,2005
