Variant,Draft,Beam,Water,Fuel,Cabins,dispalcement
Manta 42 MK II,3.67,21,100,120,3,
Bali 4.3 LOFT,3,23,211,211,6,24912
Privilege 435,4.42,23.33,175,105,,18300
Leopard 45,4,24,,185,,36156
Fountaine Pajot Athena 38,3.08,20.67,125,52,4,
Lagoon 45F,4.25,25.75,92,264,3,
Nautitech 46 Open,4.75,24.75,79.25,79.25,3,
Nautitech 442 Owners Version,4,22.3,,,6,20286
Fountaine Pajot Salina 48 Evolution,3.58,25,140,122,3,
Leopard 38,3.42,19.75,206,92,8,
Lagoon 50 Owners Version,4,26,,,5,
Nautitech 441,3,22,219,105,,20283
Leopard 48,,25,206,153,3,
Lagoon 440,4.25,25.25,711,771,4,
Leopard 40,4.08,22.08,206,95,3,
Broadblue 385,3.5,19.7,125,132,,15876
Lagoon 570,4.58,30,264,198,3,
Fountaine Pajot Helia 44 Maestro,3.67,24.25,198,126,3,
Voyage Yachts Voyage 520 DC,,27.1,0,0,,
Catana 47 Ocean Class,9.17,25,177,158.5,4,
Lagoon 52,4.92,28.25,,,4,
Catana 47,8.17,24.92,177,158.5,3,
Lagoon 400 Owners Version,4,23.75,158,212,3,
Lagoon 52F,,28.67,264.18,264.18,,
Nautitech 402,3,23,200,36,4,
Leopard Sunsail 404,4,22,206,95,,20591
Lagoon 380,3.75,21.42,150,52,,
Nautitech 46 Fly,4.67,24.58,158.5,158.5,3,
Lagoon 450,4.25,25.67,184,184,3,
Dolphin Ocema Ocema 42,3.3,23,311.3,131.9,,
Knysna 440,3.12,23.62,,,4,
Maine Cat 41,7,23,120,92,,
Manta 42 MK IV,3.67,21,100,120,3,
Nautitech 542,5.05,28.05,211,211,,32849
Lagoon 450F,4.25,25.75,92,274,3,
Nautitech 46 open,4.75,24.75,79.25,79.25,3,
Nautitech 44,4.75,24.17,158,132,3,
Antares 44GS,,21.75,120,150,3,
Seawind 1160,3.58,21.33,185,71,3,14300
Bali 4.3,,23.33,211,422,3,
Lagoon 52 Sport,4.92,28.25,,,4,57403
Lagoon 39,4,22.25,79,106,4,25739
Fountaine Pajot Lucia 40,3.75,21.58,140.02,79.25,3,19621
HH Catamarans HH55 Catamaran,10.83,26.58,,,,31305
Fountaine Pajot Pajot Bahia 46,6.89,24.28,211.34,105.67,6,
Fountaine Pajot Belize 43,,23,,,3,
Leopard 43,4,22.75,206,95,4,19030
Lagoon 400,4,23.75,200,120,4,22817
Leopard 39,3.67,21,206.05,92.46,3,20073
Lagoon 50F,4,,,,,63934
Lagoon 450s,4.25,25.83,184,274,4,33000
Bali 4.6,,25,211,211,3,
Outremer 45,6.5,23.25,108,114,3,
Fountaine Pajot Lavezzi 40,3.64,21.36,147.94,66.04,3,
Nautitech 40 Open,4.43,22.67,56.8,56.8,,18739
Lagoon 410-S2,3.94,23.26,105.67,184.92,3,
Voyage Yachts 500,,27.08,210,132,5,
Dix Harvey DH550,3.58,28.5,265,245,3,
Lagoon 40,4.42,22.17,76,112,,24251
Nautitech Open 40,4.43,22.67,56.8,56.8,,18739
Broadblue 435,4.1,22,,,,20061
Privilege Series 5,5.15,26.18,158.5,211.34,4,37038
Fountaine Pajot SABA 50,3.67,27.75,184.92,248.32,6,34613
Nautitech 47,,24.92,,,4,
Fountaine Pajot Astrea 42,,23.5,,,,
Leopard 44,4.17,23.75,206,184,3,
Bali 5.4,,28.5,,,4,
Lagoon 400 S2,4,23.75,79,106,3,22817
Lagoon 42,4.08,25.25,79,79,3,26681
Chris White Atlantic 48,3.2,26.3,,,,21500
Lagoon 450S,4.25,25.83,184,274,4,33000
Fountaine Pajot Saona 47,4.17,25.25,185,248,3,30424
Seawind 1260,3.67,22.25,185,126,,18400
Lagoon 500,4.58,28,253.6,254,4,37639
Chris White MastFoil 40,,,,,,
Fountaine Pajot Bahia 46,6.89,24.28,211.34,105.67,6,
Fountaine Pajot Salina 48,3.58,25,140,122,3,
Lagoon 50,4.58,26.58,126,274,3,45921
Leopard 46,3.67,17.25,175,365,3,33489
Fountaine Pajot Orana 44,3.92,24.08,150,105,3,
Lagoon 420,,24,,,3,
Lagoon 421,4.17,24.58,92,158,3,26835
Lagoon 42 Owners Version,4.08,25.25,79,158,3,26990
Bali 4.1,4,22,211,103,4,18959
Fountaine Pajot SABA 50 Maestro,4.1,26.18,184.92,248.32,5,
Lagoon 46,4.42,26.83,158,274,,34773
Alliaura Feeling 39 DI,3,13.9,92,38,3,17251
Fountaine Pajot Helia 44,3.67,24.25,198,126,3,10800
Fountaine Pajot Helia 44 Evolution,3.77,24.28,198.13,71.33,4,
Lagoon 380 Owners Version,3.75,21.42,150,52,4,15679
Nautitech 40.2,3,21,158,71,4,16314
Bali 4.0,4.17,22,55.74,27.74,4,19842
Seawind 1190 Sport,4.92,21.33,185,71,3,15620
Antares 44i,4,21.75,150,120,3,
Lagoon 410,3.94,23.26,184.92,52.83,4,
Broadblue 415,4.5,22,130,200,3,
