Make,  Variant,Year,LOA,Draft,Beam,LAW,Displacement,Water,Fuel,Cabins,Heads,Money
Bali,4.8,2021,48.75,4.5,25.08,47.08,32628,264.17,264.17,3,3,641182
Bali,4.6,2023,46.83,4.17,25.17,45,30424,908.76,211.34,3,3,694433
Lagoon,450,2017,45.8,    ,25.82,,,  ,,4,4,685000
Bali,  CATSPACE,2023,40.33,3.75,21.42,37.25,20723,200.77,105.67,4,4,440134
McConaghy,  MC53 Catamaran,2024,50,8.83,26.17,,,132,132,5,,2716875
Lagoon,450,2016,45.8,    ,25.52,45.54,,92.6,264.18,3,3,560000
Bali,4.4,2023,45.92,4.33,25.92,42.5,29983,211.34,211.34,4,4,631728
Fountaine Pajot,  Samana 59,2023,66.08,  ,31.33,    ,,303.8,317.07,4,4,3190536
Fountaine Pajot,  Saona 47,2020,47.01,4.27,25.26,		    ,13800,184,124,3,3,1160649
Fountaine Pajot,  Tanna 47,2023,45.73,3.94,25.26,			,          ,184.92,248.32,3,3,1118056
Fountaine Pajot,  Alegria 67,2023,72.67,11.67,34.5,			,               ,304,317,5,          ,3613640
