lsb,Draft,Beam,LAW,Water,Fuel,Cabins,Heads,displacement
Dehler 44 SQ,8.37,12.66,,,,,,21340
Grand Soleil 45 RACING,7.55,13.91,,,,,,21120
Elan 394 Impression,5.91,12.83,,,43,,,20900
Beneteau Oceanis 46,6.92,14.11,,450,53,3,,20900
Elan IMPRESSION 394,5.91,12.83,,63.4,43.59,,,20900
Grand Soleil 43 Maletto,7.87,13.12,,95.1,58.12,,,20020
Grand Soleil 43 Maletto - GS 43,7.87,13.12,,95.1,58.12,,,20020
Bavaria 38 Cruiser,,12,33,,,3,,20649.2
Bavaria 42 Cruiser,5.91,13.09,,95.1,54.95,3,,20240
Elan 40 E5,7.87,12.7,,73.18,34.87,,,18018
Grand Soleil 43 BC,8.2,12.96,,105.93,61.02,,,19580
Hunter 41 A Cockpit,6.5,13.25,,100.12,35.93,,,19360
Bavaria 41 Cruiser,6.76,12.99,,55.48,55.48,3,,19096
Bavaria 40 Cruiser,6.79,12.11,,55.48,55.48,3,,19093.8
Bavaria 39 Cruiser,6.08,12.11,,95.1,54.95,3,,18222.6
Beneteau Oceanis 55,,16.24,,400,,,,18150
Beneteau OCEANIS 55,,16.24,,400,,,,18150
Bavaria 42 Match,8.1,12.34,,79.25,39.63,3,,18040
Bavaria 40S Cruiser,7.55,12.96,,54.95,54.95,3,,17908
Beneteau 40,7.74,16.27,49.05,202,105,3,,18172
Azuree 40,8.6,13.1,,84.54,31.7,,,15840
Beneteau First 40 CR,8.04,12.76,,53,34,,,17380
Dehler 39 SQ,6.5,12.63,,60.76,29.06,,,16720
Archambault 40 RC,8.16,12.36,,98,76,,,14630
B-Yachts Brenta B42,7.87,10.17,,26.42,26.42,,,12320
B-Yachts 38,7.38,9.02,,26.42,26.42,,,9900
Comar Comet 52 RS,,16.08,,,,4,,55000
Bestevaer 53ST,7.55,15.22,,317.01,290.59,,,39600
Dufour 40e,6.8,12.7,,100.4,52.8,,,37965.4
Bestevaer 49ST,6.89,14.44,,169.07,211.34,2,,37400
Alliage AZZURO 53,9.1,15.8,,200.77,177,3,,35200
Delphia 46 cc,7.55,14.7,,158.5,105.67,,,30800
Caliber 47LRC,5.15,13.16,,225.07,277.12,,,32931.8
Bavaria 51 Cruiser Style,7.38,15.32,,147.94,73.97,3,,31020
Hunter AC 50,6.99,14.76,,199.98,150.05,,,29343.6
Grand Soleil 46 Jezequel,6.56,13.78,,,,,,28600
Bavaria 47 Cruiser,6.17,14.4,,55.48,121.52,3,,27720
Bavaria Cruiser 46 Style,6.89,14.27,,55.48,95.1,4,,27720
Bavaria 51 Cruiser,6.07,14.73,,198.13,84.01,,,27720
Bavaria 50 Cruiser,6.07,15.32,,147.94,78.99,,,27720
Bavaria Cruiser 50,6.07,15.32,,147.94,78.99,,,27720
Bavaria 45 Cruiser,5.68,14.27,,95.1,54.95,3,,27720
Bavaria 46 Cruiser,6.89,14.27,,95.1,54.95,3,,27720
Bavaria Cruiser 46,6.89,14.27,,95.1,54.95,3,,27720
Bavaria Cruiser 46S,6.89,14.27,,95.1,54.95,,,27720
Bavaria Vision 46,7.02,13.75,,128,46,,,27720
Beneteau Sense 46,7.05,14.53,,140.01,52.83,,,27066.6
Alliage 44,8.63,14.01,,184.92,95.1,2,,26400
Bavaria C45 Holiday,6.63,14.73,,171.71,66.04,,,26257
Grand Soleil 47,8.53,14.11,,,,,,24420
Azuree 46,8.63,13.11,,97.74,56.8,3,,23540
Allures 44,9.1,13.11,,145.03,145.03,,,23100
Dufour 445 GL,7.22,14.24,,124.95,66.04,,,22721.6
Dufour 450 GL,7.22,14.27,,150.05,66.04,,,22605
Dufour 445,7.22,14.24,,150.58,66.04,,,22277.2
Alubat Ovni 395,6.1,13.58,,113.59,66.04,,,22000
Beneteau Oceanis 46 Family,,13.94,,,52,,,23243
Beneteau Oceanis 46 Owner Version,,13.94,,,,,,23243
Beneteau America 50,,11.15,,26.42,13.21,2,,7700
Hanse 588,7.42,17.08,,203,137,,,50265
Hanse 548,7.25,16.58,,203,137,4,,43211
Hanse 575,9.33,17,,214,138,,,42990
Hanse 545,8,16.08,,185,106,3,,41226
Hanse 531,,17.25,,,,,,41226
Hanse 540e,7.97,16.11,,,,3,,41226
Halerg-Rassy 48,7.71,14.76,,240.4,105.67,,,40786
Hylas 49,6.33,14.25,,200,195,,,39167
Dufour 56 Exclusive,8.17,16.58,,180,132,4,,38856
Amel 54,7,16,,237,237,,,35000
Dufour 520,7.55,15.75,,184.92,118.88,3,,33610
Dufour 520 GL,7.55,15.75,,184.92,118.88,3,,33610
Hunter 49,5.5,14.75,,200,150,,,32813
Hanse 508,6.5,15.58,,166,74,3,,32408
Island Packet 440,5.17,14,,250,150,,,32000
Island Packet 420,4.83,14.25,,250,160,,,28400
Beneteau Cyclades 50.5,,16.08,,,,,,27954
Jeanneau 49i,7,14.75,,162,63,3,,27778
Hylas 46,6.5,13.75,,140,180,,,27777
Cabo Rico 42,5.5,12.67,,165,72,,,26800
Hanse 461,7.55,14.67,,105,66.04,3,,26235
Hanse 455,7.25,14.33,,119,58,3,,25500
Alubat CIE 16,8,16,,66,244,,,25353
Beneteau First 47.7,6.08,14.75,,163.8,62.09,3,,25353
Contest 42CS,7.17,18.08,,83.8,49.7,,,24251
Hanse 445,7.35,14.34,,450,220,3,,24250
Hunter 44 Deck Salon,5,14.5,,140,66,,,23936
Hunter 44 DS,5,14.5,,140,66,,,23936
Hunter 44,5,14.5,,140,51,,,23936
Hanse 430,,13.58,,,,3,,23810
Island Packet 370,4.25,13.08,,160,75,,,23800
Dufour 460,6.33,14.75,,140,66,3,,23722
Dufour 460 GL,6.33,14.83,,140,66,,,23721
Dufour 460 Performance,6.33,14.83,,140,66,,,23721
Hunter 45 Center Cockpit,5,14.5,,149,76,2,,22936
Hunter 45cc,5,14.5,,149,75,2,,22936
Hanse 418,5.75,13.67,,125,42,3,,21605
Dehler 45,7.22,12.66,,60.76,44.12,,,21385
Hanse 411,,13.29,,63.4,31.7,3,,21341
Dufour 410,6.89,13.78,,100.39,52.83,3,,20790
Dufour 410 GL,6.89,13.78,,100.39,52.83,3,,20790
Dufour 44,7.58,14.01,,108,66,,,20460
Beneteau First 44.7,,13.08,,113,53,3,,20125
Beneteau Cyclades 43.3,6.25,14.5,,140,52,3,,19797
Dufour 412,6.89,13.78,,100.39,52.83,3,,19709
Catalina 400 MK II,6.75,13.5,,98,,,,19700
Hanse 415,6.83,13.67,,84,42,3,,19621
Beneteau Oceanis 43,6.5,13.42,,95,52,,,19566
Hunter 41,5,13.25,,100,36,,,19400
Hanse 400e,6.5,13.25,,79,37,3,,18739
Dufour 425,6.07,13.58,,116,42,,,18539
Dufour 425 GL,6.07,13.58,,116,42,,,18539
Hanse 400,6.5,13.25,,79.25,36.98,3,,18519
Hanse 400 Epoxy,6.5,13.25,,85.86,31.7,3,,18519
Hunter 39,5,12.92,,75,36,,,18501
Elan 410,8,12.67,,94,38,,,18298
Beneteau Oceanis 40,,12.67,,190,53,,,18210
Hunter 38,,12.08,,75,35,,,17637
Catalina 425,6.67,13.67,,114,56,,,17500
Dufour 40,5.25,12.8,,87.18,42.27,,,17196
Elan Impression 384,6.23,12.83,,47.55,63.4,,,16720
Catalina 375,4.5,13,,97,40,,,16500
Grand Soleil 39,7.87,12.14,,116.2,52.8,3,,16204
Dufour 390,6.25,12.67,,100.39,52.83,,,15565
Dufour 385,5.77,12.89,,84.54,42.27,3,,15388
Dufour 385 GL,5.77,12.89,,84.54,42.27,2,,15388
Grand Soleil 40,7.84,12.5,,95,48,3,,15000
Grand Soleil 40 B&C,7.84,12.5,,95,48,3,,15000
Grand Soleil 37 B&C,,12.07,,95,37,,,13640
C&C 115,6.67,11.92,,70,26,,,11800
Dehler 41,7.05,12.8,,,,3,,8300
Dufour 405,6.66,13.06,,100.39,52.83,3,,2183
Dufour 405 GL,6.66,13.06,,100.39,52.83,3,,2183
