Variant,Draft,Beam,LAW,Water,Fuel,Carbins,Heads,Displacement
Jeanneau 53,5.67,15.58,45.75,251,63,3,3,
Jeanneau Sun Odyessy 41DS,,13.08,,,,,,
Jeanneau Sun Odyssey  42 DS,,,,,,,,
Jeanneau Sun Odyssey 389,6.5,12.33,36,53,34,3,1,
Jeanneau Sun Odyssey 39 DS,6.56,12.73,,93.78,34.34,2,1,
Jeanneau Sun Odyssey 39i,6.5,12.75,35.17,94,34,2,1,
Jeanneau Sun Odyssey 39i Performance,7.08,12.75,35.17,188,68,,1,
Jeanneau Sun Odyssey 40,,12.92,,,,,2,
Jeanneau Sun Odyssey 40.3,6.25,12.92,33.33,85,36,3,1,17835
Jeanneau SUN ODYSSEY 40.3,,,,,,,,
Jeanneau Sun Odyssey 40.9,,,,,,,,
Jeanneau Sun Odyssey 409,5,13,,,,3,2,
Jeanneau Sun Odyssey 410,7,13.08,,,53,2,1,17417
Jeanneau Sun Odyssey 419,6.83,13.08,,174,53,3,2,17328
Jeanneau Sun Odyssey 41DS,,13.08,,,,,2,
Jeanneau Sun Odyssey 42,6.5,13.42,33.33,120,50,,,
Jeanneau Sun Odyssey 42 DS,7.17,13.5,38,93.78,34.34,,2,
Jeanneau Sun Odyssey 42i,6.65,13.35,125.66,92,46,4,2,35627
Jeanneau Sun Odyssey 42i Performance,5.25,13.48,,93.78,34.34,,,19003.6
Jeanneau Sun Odyssey 43 DS,6.5,13.67,37.42,146,53,3,2,
Jeanneau Sun Odyssey 439,5.17,13.92,42.58,87,53,4,2,
Jeanneau Sun Odyssey 44 DS,5.33,13.83,,86,56,3,2,
Jeanneau Sun Odyssey 440,7.17,14,39.33,140,53,3,2,
Jeanneau Sun Odyssey 449,,13.83,,87.18,52.83,,2,
Jeanneau Sun Odyssey 44i,,,,,,,,
Jeanneau Sun Odyssey 45,6.37,14.34,,110.95,55.48,4,4,
Jeanneau Sun Odyssey 45 DS,6.73,14.34,,162,63.4,3,2,22928
Jeanneau Sun Odyssey 45 Performance,7.55,14.34,,,,2,,
Jeanneau Sun Odyssey 469,7.33,14.75,41.71,162,63,3,2,
Jeanneau Sun Odyssey 479,,14.67,44.75,169,63,3,3,
Jeanneau Sun Odyssey 48 DS,,,,,,,,
Jeanneau Sun Odyssey 49,5.41,14.73,,158.5,71.33,4,4,
Jeanneau Sun Odyssey 49 DS,6.73,14.47,,,,,,
Jeanneau Sun Odyssey 49 Owners version,,,,,,,,
Jeanneau Sun Odyssey 49 Owners Version,,,,,,,,
Jeanneau Sun Odyssey 490,,14.73,,169.07,63.4,5,3,
Jeanneau Sun Odyssey 49DS,,,,,,,3,
Jeanneau Sun Odyssey 49i,,,,,,,,
Jeanneau Sun Odyssey 49i Performance,7.71,14.73,,,63.4,,,
Jeanneau Sun Odyssey 50 DS,7.08,14.67,43,100,126,3,2,
Jeanneau Sun Odyssey 509,5.42,15.33,46.67,80,63,3,2,
Jeanneau Sun Odyssey 519,5.67,13.33,45.67,163,126,4,2,
Jeanneau Sun Odyssey 53,,,,,,,,
Jeanneau Sun Odyssey 54 DS,7.5,16,48.5,512,216,3,3,
Malo 40,,,,,,,,
Malo 40 classic,,,,,,,,
Malo 40 Classic MK Il,,,,,,,,
Malo 43 Classic,,13.02,,,,,,
Malo 46,6.99,13.52,,,,3,2,
Maxi 1200,,,,,,,,
Maxi 1300,7.38,12.47,,84.54,47.55,3,2,
Moody 45 Classic,,,,,,,,
Moody 45 DS,6.5,14.92,42,211.34,158.5,,,
Moody 45 DS e,,,,,,,,
Moody 49,6.58,14.42,,139,176,,2,34556
Moody 54,7.5,15.92,,252,180,,2,44132
Morris M42,5.75,11.25,30,50,40,1,1,
Morris M42X,,,,,,,,
Morris Ocean Series 48,5.83,13.83,,120,600,2,2,
Najad 380,,,,,,,,
Najad 440 CC,6.89,13.22,,,,,1,
Najad 505,,15,46.42,,,2,2,
Nauticat 385,6.07,11.81,33.14,117.56,88.5,2,1,
Nauticat 42,,,,,,,,
Nauticat 44,5.83,12.17,37.75,110,400,2,2,
Nauticat 441,6.07,12.3,,163.79,221,2,2,31747
Nauticat 441 Ketch,,,,,,,,
Nautor Swan 46,6.56,14.47,37.83,126.83,99.06,2,2,
Nautor Swan 50,11.48,13.78,,,,,,
Nautor Swan 54,8.01,15.58,,,,3,2,
Nautor Swan ClubSwan 50,11.48,13.78,45.93,63.4,44.91,2,2,
Nordship 380DS,5.91,12.3,37.07,99.33,52.83,1,1,19842
Nordship DSC 38,,,,,,,,
Oyster 46,7.25,14,39.58,,,,2,
Oyster 475,,,,,,,,
Oyster 53,7.25,15.25,45.58,237.75,237.75,,2,49053
Oyster 54,7.97,15.58,46.62,198.13,224.55,3,2,
Oyster 545,,15.58,,396.26,449.1,3,2,
Passport 470,6,14.17,39,150,160,2,2,
Passport 470 Center Cockpit,,,,,,,,
Passport 545 Aft Cockpit,6,15,45.6,,,2,2,
Passport Vista 515 Center Cockpit,,,,,,,,
Passport Vista 545 Center Cockpit,6,15.5,44,250,286,2,2,
Poncin HARMONY 47,7.05,13.94,40.91,133,53,,,23479
Poncin harmony 52,6.07,15.09,51.35,264,127,,,29762
RM Yachts 1260,8.2,14.44,,106,34,,1,
RM Yachts rm 12.60,,14.27,38.32,211,34.34,2,1,
RM Yachts RM 12.70,,,,,,,,
RM Yachts RM 1200,5.91,13.91,,,,,,
RM Yachts RM 1270,7.38,14.27,39.11,126.8,39.63,3,1,
Rustler 42,6.17,13.33,33.5,,,,,
Rustler 44,,,,,,,,
Sabre 386,,12.57,32.5,100,40,2,1,
Sabre 426,5.17,13.42,36,120,60,2,1,
Sabre 456 MK II,5.5,14.08,38.33,200,100,,,27150
Salona 38,6.89,11.88,,84.54,40.15,3,1,
Salona 40,7.74,13.12,,132.09,68.68,,,16500
Salona 42,7.48,12.53,,,,3,2,
Salona 44,8.37,13.75,,55.48,79.25,4,2,
Salona 45,8.37,13.78,,,,,2,
Salona S380,,12,,,,,2,
Salona S41,6.7,12.8,,58.12,58.12,,,15840
ShearWater 39,,12.83,33.75,52.84,118.88,2,1,21600
Sly 42,8.2,12.14,,84.54,44.91,3,2,
Sly 47,9.84,13.12,41.34,132.09,27.47,3,2,
Sly 48C,,13.78,,,,,,
Sly 53,9.84,14.44,,158.8,84.54,3,3,
Solaris 42,2.25,3.99,,350,220,,,19360
Solaris 44,,13.75,41.67,,,3,2,
Solaris 48,7.87,14.34,43.9,132.09,79.25,3,2,28219
Solaris 48 ONE,8.69,14.44,43.9,132.09,79.25,3,2,28660
Solaris 50,9.19,14.93,47.57,118.88,73.97,4,4,31967
Solaris One 44,8.53,13.71,40.68,100.39,58.12,3,2,
Southerly 135,9.71,13.52,,143.97,95.1,3,,12563
Southerly 38,2.9,13.1,,59.44,60.76,2,,21780
Southerly 42 RST,2.1,13.3,,71.06,78.99,3,,24948
Southerly 420,8.11,13.3,37.6,117,63,,,26000
Southerly 48,10.2,14.6,42.7,106,175,,,41867
Southerly 535,3.2,15.9,,211.34,237.75,3,,51260
Sunbeam 39,,,,,,,,
Sunbeam 42.1,6.11,13.1,,123.1,109.63,,,23100
Sunbeam 53,7.87,14.93,47.24,145.29,224.55,3,,43560
Sweden Yachts 42,,12.83,36.83,,,3,2,
Sweden Yachts 45,7.05,13.06,,,,3,,
Sweden Yachts 54,7.8,14.1,47.7,159,,,,38140
Tartan 4000,6.25,12,36.42,120,75,,,18854
Tartan 4300,5.67,13.5,37.83,240,200,2,2,23800
Tartan 4400,5.91,14.07,37.5,200.77,79.5,3,2,
Tayana 48,6,14.6,40.25,500,150,2,2,35000
Tayana 52 DS,6.5,15.08,,,,2,2,
Tayana Pilothouse,6,13.58,37.17,240,325,3,2,
Tofinou 12,7.92,10.5,,,,,1,
Tofinou 16,8.75,14.08,,,,,1,
Triplast Y 40,6.56,13.45,,100.39,71.33,3,,
Van De Stadt Beluga 46,,,,,,,,
Van De Stadt Norman 41,7.25,12.8,35.43,110.95,110.95,,,34540
Van De Stadt Stainless Steel Cutter,6.56,15.09,,396.26,237.75,2,2,
Vismara 52 Carbon,,,,,,,,
Vismara 54,,,,,,,,
Vismara V50,8.2,14.76,48.1,211.34,79.25,3,2,
Vismara V50 DS,,,,,,,,
Vismara V50 Mills,9.84,15.42,49.05,132.09,105.67,3,2,
Vismara V52,10.5,13.71,49.38,158.5,105.67,3,3,
Wauquiez Centurion 40s,7.67,12.58,36.5,208,58,2,1,
Wauquiez Opium 39,7.05,13.71,36.15,79,29,,,12346
Wauquiez Pilot Saloon 40,5.42,13.25,36.17,208,116,2,2,22075
Wauquiez Pilot Saloon 41,5.91,13.25,,58.12,58.12,,,22000
Wauquiez Pilot Saloon 42,7.05,13.91,,109.63,109.63,2,2,
Wauquiez Pilot Saloon 47,7.05,15.16,,159,159,,2,30870
Wauquiez Pilot Saloon 48,7.71,15.12,41.83,162.47,171.71,,2,
X-Yachts 40,7.75,12.42,35.17,,,,1,16425
X-Yachts 41,8.2,11.94,,52.83,23.78,3,1,14991
X-Yachts 50,9.84,14.04,,118.89,63.7,3,3,
X-Yachts X 4.3,,13,37.08,,,,2,
X-Yachts X4,,12.96,,,,,,
X-Yachts X4.6,8.17,14,40,95,74,3,2,
X-Yachts X-40,7.75,12.42,35.17,,,,1,16425
X-Yachts X-41 One Design,8.2,11.94,,52.83,23.78,3,1,14991
X-Yachts X-43,8.2,,,,,,,
X-Yachts X-46,7.87,13.62,40.35,100.39,52.83,3,2,
X-Yachts X-50,9.84,14.04,,118.89,63.4,3,3,
X-Yachts X-50 Modern,,14.05,,129.71,105.67,3,3,27280
X-Yachts X-55,10.5,15,47.42,,,,3,
X-Yachts Xc 38,6.5,12.5,34.5,99.06,52.83,2,1,
X-Yachts Xc 42,5.58,16.77,37.63,137.37,66.04,3,2,25133
X-Yachts Xc 50,7.9,15.1,44.4,213,162,,,35461
X-Yachts Xp 38,13.42,13.16,41.24,260,175,3,1,14936
X-Yachts Xp 44,7.55,13.35,39.01,92.46,52.83,3,2,
X-Yachts XP50,,15,49,,,,,25520
Zuanelli 40,7.87,12.8,,158.5,,3,2,
Zuanelli 52 DH,8.3,14.86,45.47,250.96,237.75,,,45100
