Variant,Draft,Beam,Water,Fuel,Cabins,Displacement,Make,vscore,Length
Alliaura Feeling 39 DI,3.0,13.9,92.0,38.0,3.0,17251.0,Alliaura,230468.0845137717,39.0
Antares 44GS,3.5,21.75,120.0,150.0,3.0,18114.666666666668,Antares,560427.4772791944,44.0
Antares 44i,4.0,21.75,150.0,120.0,3.0,18978.333333333332,Antares,583429.6843896568,44.0
Bali 4.0,4.17,22.0,55.74,27.74,4.0,19842.0,Bali,279615.80063038523,40.0
Bali 4.1,4.0,22.0,211.0,103.0,4.0,18959.0,Bali,285736.6275296157,41.0
Bali 4.3,3.5,23.33,211.0,422.0,3.0,21935.5,Bali,347554.3773915739,42.0
Bali 4.3 LOFT,3.0,23.0,211.0,211.0,6.0,24912.0,Bali,338104.04947942606,43.0
Bali 4.5,3.125,24.42,211.0,422.0,3.0,22653.0,Bali,352375.465809298,44.6
Bali 4.6,3.25,25.0,211.0,211.0,3.0,20394.0,Bali,228390.9497562358,46.85
Bali 5.4,3.375,28.5,168.0,171.5,4.0,18135.0,Bali,649173.7952940124,55.5
Broadblue 385,3.5,19.7,125.0,132.0,3.5,15876.0,Broadblue,244279.82002098984,38.7
Broadblue 415,4.5,22.0,130.0,200.0,3.0,17968.5,Broadblue,427282.906183166,42.0
Broadblue 435,4.1,22.0,153.5,179.25,3.0,20061.0,Broadblue,343364.4189652653,43.6
Catana 47,8.17,24.92,177.0,158.5,3.0,20540.666666666668,Catana,546230.5,47.0
Catana 47 Ocean Class,9.17,25.0,177.0,158.5,4.0,21020.333333333332,Catana,663037.4282062096,47.0
Chris White Atlantic 48,3.2,26.3,199.0,180.125,3.75,21500.0,Chris White,565000.0,48.7
Chris White Atlantic 49MF,3.6,24.2,221.0,201.75,3.5,20000.0,Chris White,609695.8269301126,48.7
Chris White MastFoil 40,3.59,26.35,243.0,223.375,3.25,18850.0,Chris White,234633.06670628831,40.0
Dix Harvey DH550,3.58,28.5,265.0,245.0,3.0,17700.0,Dix Harvey,672139.4272827674,55.0
Dolphin Ocema Ocema 42,3.3,23.0,311.3,131.9,3.3333333333333335,16550.0,Dolphin Ocema,212014.0272970612,41.0
Fountaine Pajot Astrea 42,3.19,23.5,218.15,91.95,3.6666666666666665,15400.0,Fountaine Pajot,393082.0297828139,41.0
Fountaine Pajot Athena 38,3.08,20.67,125.0,52.0,4.0,14250.0,Fountaine Pajot,187479.17702483755,38.0
Fountaine Pajot Bahia 46,6.89,24.28,211.34,105.67,6.0,13100.0,Fountaine Pajot,381216.4452789747,46.0
Fountaine Pajot Belize 43,5.279999999999999,23.0,204.67000000000002,115.83500000000001,3.0,11950.0,Fountaine Pajot,352837.13372262585,42.65
Fountaine Pajot Helia 44,3.67,24.25,198.0,126.0,3.0,10800.0,Fountaine Pajot,395583.6915654913,43.6
Fountaine Pajot Helia 44 Evolution,3.77,24.28,198.13,71.33,4.0,10000.0,Fountaine Pajot,462903.2027900332,43.6
Fountaine Pajot Helia 44 Maestro,3.67,24.25,198.0,126.0,3.0,9200.0,Fountaine Pajot,409492.3578755442,43.6
Fountaine Pajot Lavezzi 40,3.64,21.36,147.94,66.04,3.0,8400.0,Fountaine Pajot,229737.93880481456,39.0
Fountaine Pajot Lipari 41,3.67,22.08,140.0,80.0,4.0,7600.0,Fountaine Pajot,253541.44169538683,40.0
Fountaine Pajot Lucia 40,3.75,21.58,140.02,79.25,3.0,19621.0,Fountaine Pajot,297714.1193924154,39.0
Fountaine Pajot Lucia 40 Owner's Version,3.0,21.0,265.0,300.0,3.0,8900.0,Fountaine Pajot,359984.58890223794,39.0
Fountaine Pajot Orana 44,3.92,24.08,150.0,105.0,3.0,17471.0,Fountaine Pajot,348212.6182784191,43.0
Fountaine Pajot Pajot Bahia 46,6.89,24.28,211.34,105.67,6.0,26042.0,Fountaine Pajot,311701.4561070581,46.0
Fountaine Pajot SABA 50,3.67,27.75,184.92,248.32,6.0,34613.0,Fountaine Pajot,550957.7281122109,49.0
Fountaine Pajot SABA 50 Maestro,4.1,26.18,184.92,248.32,5.0,33565.75,Fountaine Pajot,763566.6867012978,49.0
Fountaine Pajot Salina 48,3.58,25.0,140.0,122.0,3.0,32518.5,Fountaine Pajot,395840.0763792989,47.0
Fountaine Pajot Salina 48 Evolution,3.58,25.0,140.0,122.0,3.0,31471.25,Fountaine Pajot,491729.0847302197,47.0
Fountaine Pajot Saona 47,4.17,25.25,185.0,248.0,3.0,30424.0,Fountaine Pajot,499155.9526111694,45.7
HH Catamarans HH55 Catamaran,10.83,26.58,173.33333333333334,182.66666666666669,3.5,31305.0,HH Catamarans,1779819.1311394195,55.0
Knysna 440,3.12,23.62,161.66666666666666,117.33333333333334,4.0,26096.333333333332,Knysna,282568.1320861926,44.0
Lagoon 380,3.75,21.42,150.0,52.0,4.0,20887.666666666664,Lagoon,215944.1002067313,38.0
Lagoon 380 Owners Version,3.75,21.42,150.0,52.0,4.0,15679.0,Lagoon,263807.4672358582,38.0
Lagoon 380 S2,3.75,21.42,79.0,52.0,4.0,15697.0,Lagoon,226887.35888214805,38.0
Lagoon 39,4.0,22.25,79.0,106.0,4.0,25739.0,Lagoon,250133.35825678863,38.4
Lagoon 40,4.42,22.17,76.0,112.0,4.0,24251.0,Lagoon,278924.754250645,38.5
Lagoon 400,4.0,23.75,200.0,120.0,4.0,22817.0,Lagoon,265773.3707700193,39.0
Lagoon 400 Owners Version,4.0,23.75,158.0,212.0,3.0,22817.0,Lagoon,285000.0,39.0
Lagoon 400 S2,4.0,23.75,79.0,106.0,3.0,22817.0,Lagoon,274293.4858298455,39.0
Lagoon 410,3.94,23.26,184.92,52.83,4.0,24105.0,Lagoon,338835.1966358533,40.5
Lagoon 410-S2,3.94,23.26,105.67,184.92,3.0,25393.0,Lagoon,391939.93414323847,40.5
Lagoon 42,4.08,25.25,79.0,79.0,3.0,26681.0,Lagoon,339433.9700662618,42.5
Lagoon 42 Owners Version,4.08,25.25,79.0,158.0,3.0,26990.0,Lagoon,348594.97204927995,42.5
Lagoon 420,4.125,24.0,85.5,158.0,3.0,26912.5,Lagoon,363855.8011895928,41.0
Lagoon 421,4.17,24.58,92.0,158.0,3.0,26835.0,Lagoon,319562.8403014803,42.0
Lagoon 440,4.25,25.25,711.0,771.0,4.0,28068.0,Lagoon,393756.53930306586,44.6
Lagoon 450,4.25,25.67,184.0,184.0,3.0,29301.0,Lagoon,395763.75462444016,45.8
Lagoon 450 Owners Version,4.25,25.75,184.0,264.0,3.0,30534.0,Lagoon,429616.88960238046,45.8
Lagoon 450F,4.25,25.75,92.0,274.0,3.0,31767.0,Lagoon,395676.3973017905,45.8
Lagoon 450s,4.25,25.83,184.0,274.0,4.0,33000.0,Lagoon,387906.1969631913,45.8
Lagoon 450S,4.25,25.83,184.0,274.0,4.0,33000.0,Lagoon,396919.61320601054,45.8
Lagoon 45F,4.25,25.75,92.0,264.0,3.0,33886.5,Lagoon,376124.7595934583,45.8
Lagoon 46,4.42,26.83,158.0,274.0,3.0,34773.0,Lagoon,451932.0088720893,46.0
Lagoon 50,4.58,26.58,126.0,274.0,3.0,45921.0,Lagoon,521112.6316660367,48.0
Lagoon 50 Owners Version,4.0,26.0,189.8,264.0,5.0,41780.0,Lagoon,577369.8551824787,48.0
Lagoon 500,4.58,28.0,253.6,254.0,4.0,37639.0,Lagoon,556844.6724716987,51.0
Lagoon 50F,4.0,28.125,256.245,256.545,4.0,63934.0,Lagoon,595931.3557053418,48.0
Lagoon 52,4.92,28.25,258.89,259.09000000000003,4.0,60668.5,Lagoon,732537.5489584679,52.0
Lagoon 52 Sport,4.92,28.25,261.535,261.635,4.0,57403.0,Lagoon,723067.842166211,52.0
Lagoon 52F,4.75,28.67,264.18,264.18,3.5,48070.5,Lagoon,667106.0948724487,52.0
Lagoon 570,4.58,30.0,264.0,198.0,3.0,38738.0,Lagoon,725435.8453011869,56.0
Leopard 38,3.42,19.75,206.0,92.0,8.0,29405.5,Leopard,185000.0,37.5
Leopard 39,3.67,21.0,206.05,92.46,3.0,20073.0,Leopard,236478.71968932627,37.5
Leopard 40,4.08,22.08,206.0,95.0,3.0,19551.5,Leopard,278332.1718171037,39.0
Leopard 43,4.0,22.75,206.0,95.0,4.0,19030.0,Leopard,265215.48450013285,42.5
Leopard 44,4.17,23.75,206.0,184.0,3.0,27593.0,Leopard,316902.23780428385,42.5
Leopard 45,4.0,24.0,190.5,185.0,3.0,36156.0,Leopard,380659.517410376,45.0
Leopard 46,3.67,17.25,175.0,365.0,3.0,33489.0,Leopard,369507.16174854967,46.0
Leopard 47,3.7525,24.25,211.0,158.0,3.0,22420.0,Leopard,266908.32761473703,47.0
Leopard 48,3.835,25.0,206.0,153.0,3.0,21810.333333333332,Leopard,342718.51783130143,48.0
Leopard 48 Crewed Version,3.9175,25.0,206.0,124.0,3.0,21200.666666666668,Leopard,358973.74184283416,48.0
Leopard Sunsail 404,4.0,22.0,206.0,95.0,3.0,20591.0,Leopard,71382.80724984441,39.0
Maine Cat 41,7.0,23.0,120.0,92.0,3.0,19521.75,Maine Cat,422693.0130366297,41.6
Manta 42 MK II,3.67,21.0,100.0,120.0,3.0,18452.5,Manta,369905.9204046996,42.0
Manta 42 MK IV,3.67,21.0,100.0,120.0,3.0,17383.25,Manta,292781.4224853648,42.0
Nautitech 40,4.05,21.25,158.0,71.0,4.0,16314.0,Nautitech,263018.9293403321,39.5
Nautitech 40 Open,4.43,22.67,56.8,56.8,4.0,18739.0,Nautitech,287272.9578926803,39.5
Nautitech 40.2,3.0,21.0,158.0,71.0,4.0,16314.0,Nautitech,219683.6267218398,39.0
Nautitech 402,3.0,23.0,200.0,36.0,4.0,17637.0,Nautitech,256595.99408431977,40.0
