Variant,Draft,Beam,Water,Fuel,Cabins,Dispalcement
Alliaura Feeling 39 DI,3.0,13.9,92.0,38.0,3.0,17251.0
Antares 44GS,3.5,21.75,120.0,150.0,3.0,18114.666666666668
Antares 44i,4.0,21.75,150.0,120.0,3.0,18978.333333333332
Bali 4.0,4.17,22.0,55.74,27.74,4.0,19842.0
Bali 4.1,4.0,22.0,211.0,103.0,4.0,18959.0
Bali 4.3,3.5,23.33,211.0,422.0,3.0,21935.5
Bali 4.3 LOFT,3.0,23.0,211.0,211.0,6.0,24912.0
Bali 4.5,3.125,24.42,211.0,422.0,3.0,22653.0
Bali 4.6,3.25,25.0,211.0,211.0,3.0,20394.0
Bali 5.4,3.375,28.5,168.0,171.5,4.0,18135.0
Broadblue 385,3.5,19.7,125.0,132.0,3.5,15876.0
Broadblue 415,4.5,22.0,130.0,200.0,3.0,17968.5
Broadblue 435,4.1,22.0,153.5,179.25,3.0,20061.0
Catana 47,8.17,24.92,177.0,158.5,3.0,20540.666666666668
Catana 47 Ocean Class,9.17,25.0,177.0,158.5,4.0,21020.333333333332
Chris White Atlantic 48,3.2,26.3,199.0,180.125,3.75,21500.0
Chris White Atlantic 49MF,3.6,24.2,221.0,201.75,3.5,20000.0
Chris White MastFoil 40,3.59,26.35,243.0,223.375,3.25,18850.0
Dix Harvey DH550,3.58,28.5,265.0,245.0,3.0,17700.0
Dolphin Ocema Ocema 42,3.3,23.0,311.3,131.9,3.3333333333333335,16550.0
Fountaine Pajot Astrea 42,3.19,23.5,218.15,91.95,3.6666666666666665,15400.0
Fountaine Pajot Athena 38,3.08,20.67,125.0,52.0,4.0,14250.0
Fountaine Pajot Bahia 46,6.89,24.28,211.34,105.67,6.0,13100.0
Fountaine Pajot Belize 43,5.279999999999999,23.0,204.67000000000002,115.83500000000001,3.0,11950.0
Fountaine Pajot Helia 44,3.67,24.25,198.0,126.0,3.0,10800.0
Fountaine Pajot Helia 44 Evolution,3.77,24.28,198.13,71.33,4.0,10000.0
Fountaine Pajot Helia 44 Maestro,3.67,24.25,198.0,126.0,3.0,9200.0
Fountaine Pajot Lavezzi 40,3.64,21.36,147.94,66.04,3.0,8400.0
Fountaine Pajot Lipari 41,3.67,22.08,140.0,80.0,4.0,7600.0
Fountaine Pajot Lucia 40,3.75,21.58,140.02,79.25,3.0,19621.0
Fountaine Pajot Lucia 40 Owner's Version,3.0,21.0,265.0,300.0,3.0,8900.0
Fountaine Pajot Orana 44,3.92,24.08,150.0,105.0,3.0,17471.0
Fountaine Pajot Pajot Bahia 46,6.89,24.28,211.34,105.67,6.0,26042.0
Fountaine Pajot SABA 50,3.67,27.75,184.92,248.32,6.0,34613.0
Fountaine Pajot SABA 50 Maestro,4.1,26.18,184.92,248.32,5.0,33565.75
Fountaine Pajot Salina 48,3.58,25.0,140.0,122.0,3.0,32518.5
Fountaine Pajot Salina 48 Evolution,3.58,25.0,140.0,122.0,3.0,31471.25
Fountaine Pajot Saona 47,4.17,25.25,185.0,248.0,3.0,30424.0
HH Catamarans HH55 Catamaran,10.83,26.58,173.33333333333334,182.66666666666669,3.5,31305.0
Knysna 440,3.12,23.62,161.66666666666666,117.33333333333334,4.0,26096.333333333332
Lagoon 380,3.75,21.42,150.0,52.0,4.0,20887.666666666664
Lagoon 380 Owners Version,3.75,21.42,150.0,52.0,4.0,15679.0
Lagoon 380 S2,3.75,21.42,79.0,52.0,4.0,15697.0
Lagoon 39,4.0,22.25,79.0,106.0,4.0,25739.0
Lagoon 40,4.42,22.17,76.0,112.0,4.0,24251.0
Lagoon 400,4.0,23.75,200.0,120.0,4.0,22817.0
Lagoon 400 Owners Version,4.0,23.75,158.0,212.0,3.0,22817.0
Lagoon 400 S2,4.0,23.75,79.0,106.0,3.0,22817.0
Lagoon 410,3.94,23.26,184.92,52.83,4.0,24105.0
Lagoon 410-S2,3.94,23.26,105.67,184.92,3.0,25393.0
Lagoon 42,4.08,25.25,79.0,79.0,3.0,26681.0
Lagoon 42 Owners Version,4.08,25.25,79.0,158.0,3.0,26990.0
Lagoon 420,4.125,24.0,85.5,158.0,3.0,26912.5
Lagoon 421,4.17,24.58,92.0,158.0,3.0,26835.0
Lagoon 440,4.25,25.25,711.0,771.0,4.0,28068.0
Lagoon 450,4.25,25.67,184.0,184.0,3.0,29301.0
Lagoon 450 Owners Version,4.25,25.75,184.0,264.0,3.0,30534.0
Lagoon 450F,4.25,25.75,92.0,274.0,3.0,31767.0
Lagoon 450s,4.25,25.83,184.0,274.0,4.0,33000.0
Lagoon 450S,4.25,25.83,184.0,274.0,4.0,33000.0
Lagoon 45F,4.25,25.75,92.0,264.0,3.0,33886.5
Lagoon 46,4.42,26.83,158.0,274.0,3.0,34773.0
Lagoon 50,4.58,26.58,126.0,274.0,3.0,45921.0
