,Make,Variant,Length,GeoRegion,CRS,Price,Year,yscore,vscore,rscore,PredPrice
0,Lagoon,Lagoon 380,38.0,Caribbean,Martinique,204921,2005,347053.89895617415,216314.90561188976,401086.5875061711,192713.9258235322
1,Lagoon,Lagoon 380,38.0,Caribbean,Guadeloupe,200071,2005,347053.89895617415,216314.90561188976,389732.17830631573,193056.75866164002
2,Lagoon,Lagoon 380,38.0,USA,Florida,219000,2005,347053.89895617415,216314.90561188976,442094.84568493086,221186.4038203087
3,Fountaine Pajot,Fountaine Pajot Lavezzi 40,39.0,Caribbean,Mexico,210000,2005,347053.89895617415,223039.666035064,436353.71637596306,207574.6643505154
4,Leopard,Leopard 40,39.0,Caribbean,Panama,200000,2005,347053.89895617415,278078.4179273844,375262.4204878498,199160.5420257769
5,Nautitech,Nautitech 40,39.5,Europe,Croatia,188252,2005,347053.89895617415,245191.4927803569,404132.1230890648,187934.60257471996
6,Nautitech,Nautitech 40,39.5,Europe,Croatia,188131,2005,347053.89895617415,245191.4927803569,404132.1230890648,187934.60257471996
7,Lagoon,Lagoon 410,40.5,Caribbean,Grenada,225000,2005,347053.89895617415,276731.1584952938,404131.1852811904,225483.92296936043
8,Lagoon,Lagoon 410-S2,40.5,Europe,Spain,303395,2005,347053.89895617415,332100.5859565124,434391.02807708364,283276.170428662
9,Lagoon,Lagoon 410-S2,40.5,Europe,Turkey,231042,2005,347053.89895617415,332100.5859565124,439044.56146387284,246626.25721332754
10,Lagoon,Lagoon 410,40.5,USA,Florida,235000,2005,347053.89895617415,276731.1584952938,442094.84568493086,232185.39743012752
11,Broadblue,Broadblue 415,42.0,Caribbean,Grenada,330000,2005,347053.89895617415,408828.8616119865,404131.1852811904,333333.0990500775
12,Manta,Manta 42 MK II,42.0,USA,Florida,269500,2005,347053.89895617415,310128.22154708573,442094.84568493086,251265.57085413963
13,Manta,Manta 42 MK II,42.0,USA,Florida,249900,2005,347053.89895617415,310128.22154708573,442094.84568493086,251265.57085413963
14,Manta,Manta 42 MK II,42.0,USA,Florida,249900,2005,347053.89895617415,310128.22154708573,442094.84568493086,251265.57085413963
15,Knysna,Knysna 440,44.0,Caribbean,Grenada,230000,2005,347053.89895617415,263150.2609076769,404131.1852811904,224177.27667764525
16,Lagoon,Lagoon 440,44.6,Caribbean,Martinique,349833,2005,347053.89895617415,392772.037481486,401086.5875061711,357832.62817789766
17,Lagoon,Lagoon 440,44.6,Caribbean,Martinique,349560,2005,347053.89895617415,392772.037481486,401086.5875061711,357832.62817789766
18,Lagoon,Lagoon 440,44.6,USA,Georgia,379000,2005,347053.89895617415,392772.037481486,485640.81436382653,343489.63365485653
19,Lagoon,Lagoon 440,44.6,USA,Florida,320000,2005,347053.89895617415,392772.037481486,442094.84568493086,333669.40243089845
20,Lagoon,Lagoon 440,44.6,USA,Florida,320000,2005,347053.89895617415,392772.037481486,442094.84568493086,333669.40243089845
21,Fountaine Pajot,Fountaine Pajot Bahia 46,46.0,Caribbean,Martinique,255179,2005,347053.89895617415,329857.5608429204,401086.5875061711,263614.97927977337
22,Fountaine Pajot,Fountaine Pajot Bahia 46,46.0,Caribbean,Martinique,254636,2005,347053.89895617415,329857.5608429204,401086.5875061711,263614.97927977337
23,Fountaine Pajot,Fountaine Pajot Bahia 46,46.0,USA,Florida,229000,2005,347053.89895617415,329857.5608429204,442094.84568493086,238478.85334624365
24,Nautitech,Nautitech 47,47.0,Caribbean,Dominican Republic,266761,2005,347053.89895617415,429000.21643314866,435291.93254173605,328843.45538435486
25,Leopard,Leopard 47,47.0,Caribbean,U.S. Virgin Islands,235000,2005,347053.89895617415,237304.01660875525,444394.93494046375,214691.40441927573
26,Fountaine Pajot,Fountaine Pajot Athena 38,38.0,Europe,Croatia,163694,2006,357888.119476669,170487.01940820523,404132.1230890648,146960.07697067322
27,Fountaine Pajot,Fountaine Pajot Athena 38,38.0,Europe,Croatia,146864,2006,357888.119476669,170487.01940820523,404132.1230890648,146960.07697067322
28,Fountaine Pajot,Fountaine Pajot Athena 38,38.0,Europe,Croatia,146719,2006,357888.119476669,170487.01940820523,404132.1230890648,146960.07697067322
29,Fountaine Pajot,Fountaine Pajot Athena 38,38.0,Europe,Croatia,140188,2006,357888.119476669,170487.01940820523,404132.1230890648,146960.07697067322
30,Fountaine Pajot,Fountaine Pajot Athena 38,38.0,Europe,Croatia,133138,2006,357888.119476669,170487.01940820523,404132.1230890648,146960.07697067322
31,Broadblue,Broadblue 385,38.7,Europe,Spain,223109,2006,357888.119476669,237958.75937366328,434391.02807708364,220596.41413061344
32,Broadblue,Broadblue 385,38.7,Europe,United Kingdom,220542,2006,357888.119476669,237958.75937366328,434400.0400631486,220169.67538672846
33,Broadblue,Broadblue 385,38.7,Europe,Spain,220475,2006,357888.119476669,237958.75937366328,434391.02807708364,220596.41413061344
34,Broadblue,Broadblue 385,38.7,Europe,United Kingdom,219923,2006,357888.119476669,237958.75937366328,434400.0400631486,220169.67538672846
35,Broadblue,Broadblue 385,38.7,Europe,Spain,219766,2006,357888.119476669,237958.75937366328,434391.02807708364,220596.41413061344
36,Fountaine Pajot,Fountaine Pajot Lavezzi 40,39.0,Europe,Greece,200642,2006,357888.119476669,223039.666035064,417911.7494374818,197481.28499474344
37,Fountaine Pajot,Fountaine Pajot Lavezzi 40,39.0,Europe,Italy,188482,2006,357888.119476669,223039.666035064,425607.96837693505,191502.60744648805
38,Leopard,Leopard 40,39.0,USA,Washington,239000,2006,357888.119476669,278078.4179273844,418590.38045381976,232672.0225979667
39,Fountaine Pajot,Fountaine Pajot Lavezzi 40,39.0,USA,Texas,219000,2006,357888.119476669,223039.666035064,446639.1169474407,215312.3411925004
40,Leopard,Leopard 40,39.0,USA,Florida,215500,2006,357888.119476669,278078.4179273844,442094.84568493086,220314.2064028022
41,Nautitech,Nautitech 40,39.5,Europe,Greece,217401,2006,357888.119476669,245191.4927803569,417911.7494374818,201007.07390484805
42,Nautitech,Nautitech 40,39.5,Europe,Greece,217047,2006,357888.119476669,245191.4927803569,417911.7494374818,201007.07390484805
43,Nautitech,Nautitech 40,39.5,Europe,Italy,206722,2006,357888.119476669,245191.4927803569,425607.96837693505,196310.8961914003
44,Nautitech,Nautitech 40,39.5,Europe,Greece,206551,2006,357888.119476669,245191.4927803569,417911.7494374818,201007.07390484805
45,Nautitech,Nautitech 40,39.5,Europe,Greece,206337,2006,357888.119476669,245191.4927803569,417911.7494374818,201007.07390484805
46,Nautitech,Nautitech 40,39.5,Europe,Greece,192796,2006,357888.119476669,245191.4927803569,417911.7494374818,201007.07390484805
47,Nautitech,Nautitech 40,39.5,Europe,Greece,191772,2006,357888.119476669,245191.4927803569,417911.7494374818,201007.07390484805
48,Nautitech,Nautitech 402,40.0,USA,Florida,199990,2006,357888.119476669,233339.44023941152,442094.84568493086,205179.70581649078
49,Lagoon,Lagoon 410-S2,40.6,Europe,Spain,302787,2006,357888.119476669,332100.5859565124,434391.02807708364,298121.01572854054
50,Lagoon,Lagoon 420,41.0,Europe,Italy,358698,2006,357888.119476669,377034.9358608368,425607.96837693505,335887.4197128401
51,Maine Cat,Maine Cat 41,41.6,USA,New York,349000,2006,357888.119476669,408414.05477599043,495578.9661504895,352628.6341574264
52,Manta,Manta 42 MK II,42.0,USA,Florida,269900,2006,357888.119476669,310128.22154708573,442094.84568493086,267899.71669884026
53,Leopard,Leopard 43,42.5,Europe,Italy,206708,2006,357888.119476669,241177.70395023888,425607.96837693505,196632.81159714467
54,Fountaine Pajot,Fountaine Pajot Belize 43,42.65,USA,Florida,275000,2006,357888.119476669,320857.7732178518,442094.84568493086,273020.9303613272
55,Privilege,Privilege 435,43.0,Caribbean,Guatemala,345100,2006,357888.119476669,393637.0668502029,438920.1288739333,357208.66972754773
56,Privilege,Privilege 435,43.0,Caribbean,Guatemala,344705,2006,357888.119476669,393637.0668502029,438920.1288739333,357208.66972754773
57,Privilege,Privilege 435,43.0,Caribbean,Mexico,344705,2006,357888.119476669,393637.0668502029,436353.71637596306,337774.85923493607
58,Privilege,Privilege 435,43.0,Caribbean,Mexico,315000,2006,357888.119476669,393637.0668502029,436353.71637596306,337774.85923493607
59,Broadblue,Broadblue 435,43.6,Europe,Greece,267617,2006,357888.119476669,312243.61707360664,417911.7494374818,275379.76556645933
60,Lagoon,Lagoon 440,44.6,Europe,Greece,325285,2006,357888.119476669,392772.037481486,417911.7494374818,328903.66362145107
61,Lagoon,Lagoon 440,44.6,Europe,Greece,321976,2006,357888.119476669,392772.037481486,417911.7494374818,328903.66362145107
62,Lagoon,Lagoon 440,44.6,Europe,Greece,321644,2006,357888.119476669,392772.037481486,417911.7494374818,328903.66362145107
63,Lagoon,Lagoon 440,44.6,Europe,Italy,309826,2006,357888.119476669,392772.037481486,425607.96837693505,306633.5299000343
64,Lagoon,Lagoon 440,44.6,Europe,Italy,309506,2006,357888.119476669,392772.037481486,425607.96837693505,306633.5299000343
65,Lagoon,Lagoon 440,44.6,Europe,Italy,303751,2006,357888.119476669,392772.037481486,425607.96837693505,306633.5299000343
66,Lagoon,Lagoon 440,44.6,Europe,Italy,303437,2006,357888.119476669,392772.037481486,425607.96837693505,306633.5299000343
67,Lagoon,Lagoon 440,44.6,Europe,Croatia,267301,2006,357888.119476669,392772.037481486,404132.1230890648,276479.3351992409
68,Lagoon,Lagoon 440,44.6,Europe,Croatia,267025,2006,357888.119476669,392772.037481486,404132.1230890648,276479.3351992409
69,Lagoon,Lagoon 440,44.6,Europe,Croatia,267025,2006,357888.119476669,392772.037481486,404132.1230890648,276479.3351992409
