CRS,Price
Bahamas,249684.11309998718
Belize,267207.22152266436
British Virgin Islands,334516.90504702076
Croatia,353472.6661073872
Florida,425717.9676980153
Greece,381125.2091207288
Grenada,378640.5496480533
Guadeloupe,361726.39683617634
Guatemala,434772.04374094156
Italy,382489.84591807384
Martinique,350520.08253832744
Maryland,384243.2696101465
Mexico,428995.1511228059
Portugal,381234.983233723
Saint-Martin,446875.131229485
Spain,390256.9911421528
Turkey,385616.10780839354
U.S. Virgin Islands,498423.2867342312
