index,rscore
0,377714.3318582136
1,371409.3846427903
2,422832.42505614535
3,419272.43230189534
4,378445.31322400586
5,382750.0785089477
6,382750.0785089477
7,387552.0404216695
8,404684.0403363371
9,415713.65480717213
10,422832.42505614535
11,387552.0404216695
12,422832.42505614535
13,422832.42505614535
14,422832.42505614535
15,387552.0404216695
16,377714.3318582136
17,377714.3318582136
18,561187.6805216612
19,422832.42505614535
20,422832.42505614535
21,377714.3318582136
22,377714.3318582136
23,422832.42505614535
24,417096.79255991674
25,431016.5974835431
26,382750.0785089477
27,382750.0785089477
28,382750.0785089477
29,382750.0785089477
30,382750.0785089477
31,404684.0403363371
32,416572.5991355029
33,404684.0403363371
34,416572.5991355029
35,404684.0403363371
36,395602.83307253086
37,400363.7413749597
38,405829.24440702726
39,430656.7777722374
40,422832.42505614535
41,395602.83307253086
42,395602.83307253086
43,400363.7413749597
44,395602.83307253086
45,395602.83307253086
46,395602.83307253086
47,395602.83307253086
48,422832.42505614535
49,404684.0403363371
50,400363.7413749597
51,470519.20749561634
52,422832.42505614535
53,400363.7413749597
54,422832.42505614535
55,417930.59203609865
56,417930.59203609865
57,419272.43230189534
58,419272.43230189534
59,395602.83307253086
60,395602.83307253086
61,395602.83307253086
62,395602.83307253086
63,400363.7413749597
64,400363.7413749597
65,400363.7413749597
66,400363.7413749597
67,382750.0785089477
68,382750.0785089477
69,382750.0785089477
70,422832.42505614535
71,377714.3318582136
72,377714.3318582136
73,400363.7413749597
74,400363.7413749597
75,417930.59203609865
76,489048.2145523884
77,395602.83307253086
78,395602.83307253086
79,377714.3318582136
80,369144.4057911562
81,404684.0403363371
82,395602.83307253086
83,395602.83307253086
84,395602.83307253086
85,395602.83307253086
86,395602.83307253086
87,395602.83307253086
88,424263.00930901873
89,395602.83307253086
90,416572.5991355029
91,352352.83802193345
92,360607.91836309526
93,424263.00930901873
94,316956.33722934325
95,377714.3318582136
96,377714.3318582136
97,326020.8086677674
98,404684.0403363371
99,404684.0403363371
100,404684.0403363371
101,404684.0403363371
102,395602.83307253086
103,395602.83307253086
104,422832.42505614535
105,424263.00930901873
106,422832.42505614535
107,395602.83307253086
108,415713.65480717213
109,402767.44599142845
110,422832.42505614535
111,408384.6148613976
112,404684.0403363371
113,400363.7413749597
114,408384.6148613976
115,419272.43230189534
116,400363.7413749597
117,400363.7413749597
118,422832.42505614535
119,395602.83307253086
120,395602.83307253086
121,395602.83307253086
122,377714.3318582136
123,356429.14938809845
124,408384.6148613976
125,408384.6148613976
126,408384.6148613976
127,408384.6148613976
128,395602.83307253086
129,395602.83307253086
130,382750.0785089477
131,417930.59203609865
132,377714.3318582136
133,377714.3318582136
134,356429.14938809845
135,369144.4057911562
136,356429.14938809845
137,369144.4057911562
138,356429.14938809845
139,356429.14938809845
140,395602.83307253086
141,395602.83307253086
142,408384.6148613976
143,408384.6148613976
144,408384.6148613976
145,408384.6148613976
146,404684.0403363371
147,404684.0403363371
148,395602.83307253086
149,395602.83307253086
150,422832.42505614535
151,424263.00930901873
152,422832.42505614535
153,400363.7413749597
154,400363.7413749597
155,422832.42505614535
156,422832.42505614535
