Variant,vscore
Lagoon 380,216314.90561188976
Lagoon 380,216314.90561188976
Lagoon 380,216314.90561188976
Fountaine Pajot Lavezzi 40,223039.666035064
Leopard 40,278078.4179273844
Nautitech 40,245191.4927803569
Nautitech 40,245191.4927803569
Lagoon 410,276731.1584952938
Lagoon 410-S2,332100.5859565124
Lagoon 410-S2,332100.5859565124
Lagoon 410,276731.1584952938
Broadblue 415,408828.8616119865
Manta 42 MK II,310128.22154708573
Manta 42 MK II,310128.22154708573
Manta 42 MK II,310128.22154708573
Knysna 440,263150.2609076769
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Fountaine Pajot Bahia 46,329857.5608429204
Fountaine Pajot Bahia 46,329857.5608429204
Fountaine Pajot Bahia 46,329857.5608429204
Nautitech 47,429000.21643314866
Leopard 47,237304.01660875525
Fountaine Pajot Athena 38,170487.01940820523
Fountaine Pajot Athena 38,170487.01940820523
Fountaine Pajot Athena 38,170487.01940820523
Fountaine Pajot Athena 38,170487.01940820523
Fountaine Pajot Athena 38,170487.01940820523
Broadblue 385,237958.75937366328
Broadblue 385,237958.75937366328
Broadblue 385,237958.75937366328
Broadblue 385,237958.75937366328
Broadblue 385,237958.75937366328
Fountaine Pajot Lavezzi 40,223039.666035064
Fountaine Pajot Lavezzi 40,223039.666035064
Leopard 40,278078.4179273844
Fountaine Pajot Lavezzi 40,223039.666035064
Leopard 40,278078.4179273844
Nautitech 40,245191.4927803569
Nautitech 40,245191.4927803569
Nautitech 40,245191.4927803569
Nautitech 40,245191.4927803569
Nautitech 40,245191.4927803569
Nautitech 40,245191.4927803569
Nautitech 40,245191.4927803569
Nautitech 402,233339.44023941152
Lagoon 410-S2,332100.5859565124
Lagoon 420,377034.9358608368
Maine Cat 41,408414.05477599043
Manta 42 MK II,310128.22154708573
Leopard 43,241177.70395023888
Fountaine Pajot Belize 43,320857.7732178518
Privilege 435,393637.0668502029
Privilege 435,393637.0668502029
Privilege 435,393637.0668502029
Privilege 435,393637.0668502029
Broadblue 435,312243.61707360664
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Lagoon 440,392772.037481486
Fountaine Pajot Bahia 46,329857.5608429204
Fountaine Pajot Bahia 46,329857.5608429204
Fountaine Pajot Pajot Bahia 46,283450.4238828061
Fountaine Pajot Bahia 46,329857.5608429204
Catana 47 Ocean Class,602943.0931200585
Leopard 47,237304.01660875525
Nautitech 47,429000.21643314866
