Type,Make,Variant,Length,GeoRegion,CRS,Price,Year
monohulled,Alubat,Ovni 395,41.0,Europe,France,267233,2005
monohulled,Bavaria,38 Cruiser,38.0,Europe,Croatia,75178,2005
monohulled,Bavaria,38 Cruiser,38.0,Europe,Croatia,66825,2005
monohulled,Bavaria,38 Cruiser,38.0,Europe,Croatia,54661,2005
monohulled,Bavaria,38 Cruiser,38.0,Europe,Croatia,53447,2005
monohulled,Bavaria,38 Cruiser,38.0,Europe,Greece,91101,2005
monohulled,Bavaria,39 Cruiser,39.0,Europe,Greece,66748,2005
monohulled,Bavaria,42 Match,41.0,Europe,Croatia,78945,2005
monohulled,Bavaria,42 Match,41.0,Europe,Croatia,58297,2005
monohulled,Bavaria,42 Cruiser,42.0,Europe,Croatia,112906,2005
monohulled,Bavaria,42 Cruiser,42.0,Europe,Italy,95961,2005
monohulled,Bavaria,42 Cruiser,42.0,Europe,Italy,94746,2005
monohulled,Bavaria,42 Cruiser,42.0,Europe,Italy,91102,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Croatia,101063,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Croatia,91106,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Croatia,84907,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Croatia,84786,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,133651,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,109338,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,105705,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,103253,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Greece,96933,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Italy,115396,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Italy,103249,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Netherlands,133015,2005
monohulled,Bavaria,Cruiser 46,46.0,Europe,Spain,145769,2005
monohulled,Bavaria,50 Cruiser,49.0,Europe,Croatia,103249,2005
monohulled,Bavaria,50 Cruiser,49.0,Europe,Greece,109323,2005
monohulled,Bavaria,50 Cruiser,49.0,Europe,Italy,151843,2005
monohulled,Bavaria,50 Cruiser,49.0,Europe,Italy,136896,2005
