Make,Variant,Year,Length,Draft,Beam,Displacement,Water,Fuel,Cabins,Money,vscore,rscore,yscore
Beneteau,Oceanis 34.1,2018,15.91,6.485,11.71,12046,61,34.34,1,455386,244031.3086,143026.933,229690.729
Beneteau,Oceanis 30.1,2019,31.27,9.83,28.38,8807,42.27,34.34,2,555834,268052.9534,143026.933,255573.8628
Beneteau,Oceanis 38,2010,36.52,8.525,13.09,9398.666667,34.34,36.79285714,1,221600,230828.3691,143026.933,133235.6455
J Boats,111,2008,36.52,7.22,10.79,9990.333333,38.96333333,39.24571429,1,250000,256398.2518,143026.933,125525.8888
Beneteau,First 36,2019,39.3,12.47,11.27,10582,43.58666667,41.69857143,1,647760,314587.3784,143026.933,255573.8628
M Boats,40,2007,40.35,8.53,12.3,11905,57.45666667,49.05714286,2,141277,201408.5516,143026.933,121178.2247
Beneteau,Oceanis 40.1,2019,42.25,8.372,13.75,15653,62.08,51.51,3,456435,221905.3498,143026.933,255573.8628
Beneteau,Sense 43,2008,43.43,8.214,14.04,19401,136.05,105.66,2,260000,277931.6859,143026.933,125525.8888
Beneteau,First 44,2019,46.42,8.056,13.94,23149,116.895,79.245,2,652050,326062.2092,143026.933,255573.8628
Beneteau,Oceanis 46.1,2019,47.92,7.898,14.75,23362,97.74,52.83,2,557503,269875.886,143026.933,255573.8628
Beneteau,Oceanis 51.1,2014,49.18,7.74,16.27,25811.33333,202,104,3,443375,307939.305,143026.933,177607.9919
Judel And Vrolijk,Tp52,2002,52,10.5,14.47,28260.66667,159.12,78.415,1,389000,502904.328,143026.933,91218.80662
Beneteau,Oceanis 51.1,2019,52.33,11.96,15,30710,116.24,52.83,2,904195,533702.2763,143026.933,255573.8628
Nautor Swan,54,2015,54,13.42,15.5,31936.66667,140.8933333,70.44333333,4,770000,437636.3338,143026.933,177456.7018
X-Yachts,X-55,2005,54.99,10.5,14.99,33163.33333,165.5466667,88.05666667,3,380362,484387.3423,143026.933,113218.8066
Nautor Swan,Swan 60,2010,61.88,11.81,16.7,18729,105.67,132.09,3,604100,486130.7189,143026.933,133235.6455
