Variant,Draft,Beam,Water,Fuel,Cabins,Displacement,Make,vscore,Length
Dehler 37,5.92,11.5,70.0,32.0,3.00,30000,Dehler,97608.86541087418,36.0
Dehler 38 Competition,7.22,12.3,83.21,42.27,3.0,30000,Dehler,193563.3432724115,37.0
Hanse 385,6.66,12.73,89.155,47.55,3.0,30000,Hanse,157179.76920147444,37.0
Dufour 382 GL,6.23,12.73,95.1,52.83,3.0,30000,Dufour,99520.85889138584,37.0
Hunter 380,5.0,12.58,86.55,47.415,2.5,30000,Hunter,141326.5638084791,37.0
Hanse 388,5.42,12.83,78.0,42.0,2.0,30000,Hanse,111820.3024038779,37.0
Beneteau Oceanis 38,6.82,13.09,34.34,34.34,2.0,30000,Beneteau,126237.03135367393,37.0
Dufour 385 GL,5.77,12.89,84.54,42.27,2.0,15388.0,Dufour,111828.56692724928,38.0
Hunter 38,6.26,12.08,75.0,35.0,2.3333333333333335,17637.0,Hunter,127841.1833864796,38.0
Beneteau Oceanis 38.1,6.75,13.08,87.0,34.0,2.6666666666666665,16469.6,Beneteau,128801.5561494848,38.0
Salona 38,6.89,11.88,84.54,40.15,3.0,15302.2,Salona,132874.09513220843,38.0
Jeanneau Sun Odyssey 389,6.5,12.33,53.0,34.0,3.0,14134.8,Jeanneau,113986.41109314088,38.0
Nordship DSC 38,6.585,12.125,61.5,30.0,2.8,12967.4,Nordship,259865.8399203158,38.0
C&C 115,6.67,11.92,70.0,26.0,2.6,11800.0,C&C,169319.20090130137,38.0
Salona S380,5.46,12.0,115.0,50.5,2.4,17800.0,Salona,151278.1813432388,38.0
Island Packet 370,4.25,13.08,160.0,75.0,2.2,23800.0,Island Packet,222754.23063849457,38.0
Sabre 386,5.08,12.57,100.0,40.0,2.0,21821.0,Sabre,252825.44320948972,38.0
Nordship 380DS,5.91,12.3,99.33,52.83,1.0,19842.0,Nordship,382403.7844310053,38.0
Catalina 387,4.75,12.33,102.0,37.0,1.5,14871.0,Catalina,190294.1078434316,38.0
B-Yachts 38,7.38,9.02,26.42,26.42,2.0,9900.0,B-Yachts,218430.11472943384,38.0
Catalina 385,6.83,13.08,100.0,40.0,2.5,12418.0,Catalina,190634.75634646547,38.0
X-Yachts Xp 38,13.42,13.16,260.0,175.0,3.0,14936.0,X-Yachts,241960.34138616707,38.0
Najad 380,11.113333333333333,12.615,177.5,106.0,2.6666666666666665,14288.0,Najad,305688.5544364264,38.0
Grand Soleil 37 B&C,8.806666666666667,12.07,95.0,37.0,2.3333333333333335,13640.0,Grand Soleil,147072.30450557976,38.0
X-Yachts Xc 38,6.5,12.5,99.06,52.83,2.0,15976.4,X-Yachts,276446.8302538495,38.0
Harmony 38,4.92,12.53,79.25,52.83,2.0,18312.8,Harmony,86285.70178798602,38.0
Bavaria 38 Cruiser,4.71,12.01,88.125,46.415,3.0,20649.2,Bavaria,91005.36160872671,38.0
Catalina 375,4.5,13.0,97.0,40.0,3.0,16500.0,Catalina,175009.55534037683,38.0
Dufour 380,6.23,12.73,95.1,52.83,3.0,16610.0,Dufour,97117.11742935452,38.0
Elan Impression 384,6.23,12.83,47.55,63.4,2.5,16720.0,Elan,106296.43590235517,38.0
Nauticat 385,6.07,11.81,117.56,88.5,2.0,16054.0,Nauticat,401845.2232372376,38.0
Dufour 385,5.77,12.89,84.54,42.27,3.0,15388.0,Dufour,108029.7419227952,38.0
Salona 40,7.74,13.12,132.09,68.68,2.5,16500.0,Salona,157704.48871307427,39.0
Jeanneau Sun Odyssey 39i,6.5,12.75,94.0,34.0,2.0,19140.0,Jeanneau,117500.72506944298,39.0
Southerly 38,2.9,13.1,59.44,60.76,2.0,21780.0,Southerly,284096.5789331895,39.0
Jeanneau Sun Odyssey 39 DS,6.56,12.73,93.78,34.34,2.0,20537.0,Jeanneau,132413.8173373414,39.0
Delphia 40,7.17,12.92,92.0,55.0,2.0,19294.0,Delphia,143408.60536874185,39.0
Jeanneau Sun Odyssey 39i Performance,7.08,12.75,188.0,68.0,2.0,18051.0,Jeanneau,122901.8845515253,39.0
Beneteau First 40.7,7.75,12.25,72.0,36.0,2.0,16808.0,Beneteau,169470.26259657386,39.0
Dufour 390,6.25,12.67,100.39,52.83,2.0,15565.0,Dufour,131120.07296785357,39.0
Sunbeam 39,6.375,12.65,80.575,40.945,2.0,16142.5,Sunbeam,244514.39524065523,39.0
Dehler 39 SQ,6.5,12.63,60.76,29.06,2.0,16720.0,Dehler,191588.0063199756,39.0
RM Yachts rm 12.60,5.625,14.27,211.0,34.34,2.0,16023.333333333334,RM Yachts,300927.51787910913,39.0
Jeanneau 39i,4.75,12.58,94.0,34.0,2.0,15326.666666666666,Jeanneau,120651.08187124954,39.0
Archambault 40 RC,8.14,12.3,25.89,20.08,2.5,14630.0,Archambault,145396.08870898094,39.0
Bavaria 39 Cruiser,6.07,12.99,95.1,54.95,3.0,18222.6,Bavaria,103706.0785551812,39.0
Elan Impression 40,5.91,12.83,79.25,49.27,3.0,19561.3,Elan,146307.68299713824,39.0
Elan IMPRESSION 394,5.91,12.83,63.4,43.59,3.0,20900.0,Elan,120298.89074339547,39.0
Elan 40 Impression,5.91,12.83,68.29,39.230000000000004,3.0,19459.0,Elan,107193.42076582792,39.0
Elan 40 E5,7.87,12.7,73.18,34.87,3.0,18018.0,Elan,132728.7970864625,39.0
