Variant,Draft,Beam,Water,Fuel,Cabins,Displacement
Alliage 44,8.53,14.01,184.92,95.1,2.0,26400.0
Alliage AZZURO 53,9.84,15.75,200.77,177.0,3.0,35200.0
Allures 44,9.84,13.94,145.03,145.03,3.0,23100.0
Alubat CIGALE 16,8.0,16.0,66.0,244.0,3.0,25353.0
Alubat Ovni 395,6.89,13.48,113.59,66.04,3.0,22000.0
Amel 54,7.0,16.0,237.0,237.0,3.0,35000.0
Archambault 40 RC,8.14,12.3,25.89,20.08,3.0,14630.0
Azuree 40,8.5,13.85,84.54,31.7,3.0,15840.0
Azuree 46,8.53,13.94,97.74,56.8,3.0,23540.0
Bavaria 38 Cruiser,7.3,12.01,96.41999999999999,55.875,3.0,20649.2
Bavaria 39 Cruiser,6.07,12.99,95.1,54.95,3.0,18222.6
Bavaria 40 Cruiser,6.66,12.93,55.48,55.48,3.0,19093.8
Bavaria 40S Cruiser,7.55,12.96,54.95,54.95,3.0,17908.0
Bavaria 41 Cruiser,6.76,12.99,55.48,55.48,3.0,19096.0
Bavaria 42 Cruiser,5.91,13.09,95.1,54.95,3.0,20240.0
Bavaria 42 Match,8.1,12.34,79.25,39.63,3.0,18040.0
Bavaria 42 Vision,6.79,13.29,55.48,55.48,3.0,21266.666666666668
Bavaria 44 Vision,6.89,14.4,110.95,55.48,3.0,24493.333333333332
Bavaria 45 Cruiser,5.68,14.27,95.1,54.95,3.0,27720.0
Bavaria 46 Cruiser,6.89,14.27,95.1,54.95,3.0,27720.0
Bavaria 47 Cruiser,6.17,14.4,55.48,121.52,3.0,27720.0
Bavaria 49 Cruiser,5.91,14.63,211.34,92.46,5.0,27720.0
Bavaria 50 Cruiser,6.07,15.32,147.94,78.99,4.333333333333333,27720.0
Bavaria 51 Cruiser,6.07,14.73,198.13,84.01,3.666666666666667,27720.0
Bavaria 51 Cruiser Style,7.38,15.32,147.94,73.97,3.0,31020.0
Bavaria 56 Cruiser,8.08,15.58,182.28,79.25,3.0,28638.5
Bavaria C45 Holiday,6.63,14.73,171.71,66.04,3.0,26257.0
Bavaria Cruiser 46,6.89,14.27,95.1,54.95,3.0,27720.0
Bavaria Cruiser 46 Style,6.89,14.27,55.48,95.1,4.0,27720.0
Bavaria Cruiser 46S,6.89,14.27,95.1,54.95,3.75,27720.0
Bavaria Cruiser 50,6.07,15.32,147.94,78.99,3.5,27720.0
Bavaria Vision 46,7.02,13.75,128.0,46.0,3.25,27720.0
Beneteau 40,7.74,16.27,202.0,105.0,3.0,18172.0
Beneteau 41.1,5.5,13.75,174.0,53.0,3.0,16426.666666666668
Beneteau 423,5.58,12.92,143.0,53.0,2.5,14681.333333333334
Beneteau 43,5.42,13.5,95.0,53.0,2.0,12936.0
Beneteau 523,6.0,16.0,72.14,39.736666666666665,2.0,11190.666666666668
Beneteau 56,6.076666666666667,7.55,49.28,26.473333333333333,2.0,9445.333333333334
Beneteau America 50,6.153333333333333,11.15,26.42,13.21,2.0,7700.0
Beneteau Cyclades 39.3,6.23,12.96,84.54,58.12,3.0,11732.333333333334
Beneteau Cyclades 43,6.23,14.53,52.83,140.01,3.0,15764.666666666668
Beneteau Cyclades 43.3,6.25,14.5,140.0,52.0,3.0,19797.0
Beneteau Cyclades 43.4,6.3,14.42,119.75,46.82,3.0,23875.5
Beneteau Cyclades 50.5,6.3500000000000005,16.08,99.5,41.64,3.0,27954.0
Beneteau First 40,6.4,12.76,79.25,36.46,3.0,22667.0
Beneteau First 40 CR,8.04,12.76,53.0,34.0,3.0,17380.0
Beneteau First 40.7,7.75,12.25,72.0,36.0,3.0,18752.5
Beneteau First 44.7,7.193333333333333,13.08,113.0,53.0,3.0,20125.0
Beneteau First 45,6.636666666666667,13.75,151.0,53.0,3.0,22739.0
Beneteau First 47.7,6.08,14.75,163.8,62.09,3.0,25353.0
Beneteau First 50,7.87,14.47,150.05,62.61,3.0,24332.571428571428
Beneteau First 50 Sport,7.87,14.47,150.05,62.61,3.0,23312.14285714286
Beneteau Moorings 42.3,5.5,13.7,150.0,53.0,2.8333333333333335,22291.714285714286
Beneteau Moorings 43.5,6.23,14.53,148.0,53.0,2.6666666666666665,21271.285714285714
Beneteau Oceanis 38,6.82,13.09,34.34,34.34,2.5,20250.857142857145
Beneteau Oceanis 38.1,6.75,13.08,87.0,34.0,2.3333333333333335,19230.428571428572
Beneteau Oceanis 40,6.8966666666666665,12.67,190.0,53.0,2.166666666666667,18210.0
Beneteau Oceanis 41,7.043333333333334,13.67,90.0,52.0,2.0,18481.2
Beneteau Oceanis 41 Owners Version,7.19,13.78,63.4,52.83,2.5,18752.4
Beneteau Oceanis 41.1,7.055,13.75,174.0,53.0,3.0,19023.6
Beneteau Oceanis 423,6.92,12.92,308.0,53.0,3.0,19294.8
Beneteau Oceanis 43,6.5,13.42,95.0,52.0,3.5,19566.0
Beneteau Oceanis 43 Family,6.56,13.52,95.1,52.83,4.0,19899.5
Beneteau Oceanis 43.4,6.23,14.53,132.09,52.83,4.0,20233.0
Beneteau Oceanis 45,7.42,14.75,98.0,53.0,2.0,20566.5
