,Make,Variant,Length,GeoRegion,CRS,Price,Year,yscore,vscore,rscore,PredPrice
0,Alubat,Alubat Ovni 395,41.0,Europe,France,267233,2005,113218.80662147868,261722.23769259857,138756.8337801895,241766.16184895474
1,Bavaria,Bavaria 38 Cruiser,38.0,Europe,Croatia,75178,2005,113218.80662147868,85365.29911170724,122594.94748508127,62314.51021889223
2,Bavaria,Bavaria 38 Cruiser,38.0,Europe,Croatia,66825,2005,113218.80662147868,85365.29911170724,122594.94748508127,62314.51021889223
3,Bavaria,Bavaria 38 Cruiser,38.0,Europe,Croatia,54661,2005,113218.80662147868,85365.29911170724,122594.94748508127,62314.51021889223
4,Bavaria,Bavaria 38 Cruiser,38.0,Europe,Croatia,53447,2005,113218.80662147868,85365.29911170724,122594.94748508127,62314.51021889223
5,Bavaria,Bavaria 38 Cruiser,38.0,Europe,Greece,91101,2005,113218.80662147868,85365.29911170724,124201.85730889764,74248.8659856364
6,Bavaria,Bavaria 39 Cruiser,39.0,Europe,Greece,66748,2005,113218.80662147868,96535.3326405536,124201.85730889764,79624.81885099396
7,Bavaria,Bavaria 42 Match,41.0,Europe,Croatia,78945,2005,113218.80662147868,72607.56269593381,122594.94748508127,71013.25868609035
8,Bavaria,Bavaria 42 Match,41.0,Europe,Croatia,58297,2005,113218.80662147868,72607.56269593381,122594.94748508127,71013.25868609035
9,Bavaria,Bavaria 42 Cruiser,42.0,Europe,Croatia,112906,2005,113218.80662147868,121674.80664332857,122594.94748508127,100750.7595329142
10,Bavaria,Bavaria 42 Cruiser,42.0,Europe,Italy,95961,2005,113218.80662147868,121674.80664332857,131501.93166320262,95949.31428826676
11,Bavaria,Bavaria 42 Cruiser,42.0,Europe,Italy,94746,2005,113218.80662147868,121674.80664332857,131501.93166320262,95949.31428826676
12,Bavaria,Bavaria 42 Cruiser,42.0,Europe,Italy,91102,2005,113218.80662147868,121674.80664332857,131501.93166320262,95949.31428826676
13,Bavaria,Bavaria Cruiser 46,46.0,Europe,Croatia,101063,2005,113218.80662147868,133164.89303377052,122594.94748508127,92350.7419724636
14,Bavaria,Bavaria Cruiser 46,46.0,Europe,Croatia,91106,2005,113218.80662147868,133164.89303377052,122594.94748508127,92350.7419724636
15,Bavaria,Bavaria Cruiser 46,46.0,Europe,Croatia,84907,2005,113218.80662147868,133164.89303377052,122594.94748508127,92350.7419724636
16,Bavaria,Bavaria Cruiser 46,46.0,Europe,Croatia,84786,2005,113218.80662147868,133164.89303377052,122594.94748508127,92350.7419724636
17,Bavaria,Bavaria Cruiser 46,46.0,Europe,Greece,133651,2005,113218.80662147868,133164.89303377052,124201.85730889764,108655.94397533454
18,Bavaria,Bavaria Cruiser 46,46.0,Europe,Greece,109338,2005,113218.80662147868,133164.89303377052,124201.85730889764,108655.94397533454
19,Bavaria,Bavaria Cruiser 46,46.0,Europe,Greece,105705,2005,113218.80662147868,133164.89303377052,124201.85730889764,108655.94397533454
20,Bavaria,Bavaria Cruiser 46,46.0,Europe,Greece,103253,2005,113218.80662147868,133164.89303377052,124201.85730889764,108655.94397533454
21,Bavaria,Bavaria Cruiser 46,46.0,Europe,Greece,96933,2005,113218.80662147868,133164.89303377052,124201.85730889764,108655.94397533454
22,Bavaria,Bavaria Cruiser 46,46.0,Europe,Italy,115396,2005,113218.80662147868,133164.89303377052,131501.93166320262,112244.44161815365
23,Bavaria,Bavaria Cruiser 46,46.0,Europe,Italy,103249,2005,113218.80662147868,133164.89303377052,131501.93166320262,112244.44161815365
24,Bavaria,Bavaria Cruiser 46,46.0,Europe,Netherlands,133015,2005,113218.80662147868,133164.89303377052,139841.46050705275,125038.49000475272
25,Bavaria,Bavaria Cruiser 46,46.0,Europe,Spain,145769,2005,113218.80662147868,133164.89303377052,138365.70623866507,133515.39844895588
26,Bavaria,Bavaria 50 Cruiser,49.0,Europe,Croatia,103249,2005,113218.80662147868,156372.6918812793,122594.94748508127,135345.08656330226
27,Bavaria,Bavaria 50 Cruiser,49.0,Europe,Greece,109323,2005,113218.80662147868,156372.6918812793,124201.85730889764,116431.25726029348
