CRS,Price
Antigua and Barbuda,211643.9773968012
California,258896.89437244396
Connecticut,324091.86127529596
Croatia,162547.12989129327
Denmark,342177.1543400545
Florida,226994.2060165065
France,255179.38391592848
Germany,202271.95474542215
Greece,170149.1118772276
Grenada,190605.71604016144
Guadeloupe,201918.84327090654
Ireland,208491.09646766755
Italy,224589.57965937475
Louisiana,203446.7355131557
Malta,230456.66714550278
Martinique,210377.2525937475
Maryland,322730.5639635398
Massachusetts,195045.25784700568
Mexico,218274.5023367047
Michigan,250993.45447576838
Netherlands,365805.41810713976
New Jersey,182491.29066598217
New York,203518.35528201945
North Carolina,195760.59937472764
Ohio,193864.93655647518
Portugal,235222.40278808345
Rhode Island,309285.63981580676
Slovenia,186592.01544872773
South Carolina,213740.00855351356
Spain,242935.7769185455
Sweden,336418.194402678
Texas,227268.88601230393
Turkey,223178.80145145496
United Kingdom,308383.5444217687
Virginia,214683.71544296978
Washington,286571.3643501815
Wisconsin,208060.73028130774
