Variant,vscore
Alubat Ovni 395,261722.23769259857
Bavaria 38 Cruiser,85365.29911170724
Bavaria 38 Cruiser,85365.29911170724
Bavaria 38 Cruiser,85365.29911170724
Bavaria 38 Cruiser,85365.29911170724
Bavaria 38 Cruiser,85365.29911170724
Bavaria 39 Cruiser,96535.3326405536
Bavaria 42 Match,72607.56269593381
Bavaria 42 Match,72607.56269593381
Bavaria 42 Cruiser,121674.80664332857
Bavaria 42 Cruiser,121674.80664332857
Bavaria 42 Cruiser,121674.80664332857
Bavaria 42 Cruiser,121674.80664332857
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria Cruiser 46,133164.89303377052
Bavaria 50 Cruiser,156372.6918812793
Bavaria 50 Cruiser,156372.6918812793
Bavaria 50 Cruiser,156372.6918812793
Bavaria 50 Cruiser,156372.6918812793
Bavaria 49 Cruiser,146507.21053333208
Bavaria 49 Cruiser,146507.21053333208
Beneteau First 40.7,153291.15390212028
Beneteau Cyclades 39.3,101333.33234310521
Beneteau Cyclades 39.3,101333.33234310521
Beneteau First 40.7,153291.15390212028
Beneteau Cyclades 39.3,101333.33234310521
Beneteau Cyclades 39.3,101333.33234310521
Beneteau Cyclades 39.3,101333.33234310521
Beneteau Cyclades 39.3,101333.33234310521
Beneteau Cyclades 39.3,101333.33234310521
Beneteau Cyclades 39.3,101333.33234310521
Beneteau Cyclades 39.3,101333.33234310521
Beneteau Oceanis 423,168735.0104445273
Beneteau Cyclades 43.3,119692.1116347974
Beneteau Cyclades 43.3,119692.1116347974
Beneteau Cyclades 43.3,119692.1116347974
Beneteau Oceanis Clipper 423,126992.98054479933
Beneteau Oceanis Clipper 423,126992.98054479933
Beneteau Oceanis Clipper 423,126992.98054479933
Beneteau Oceanis 423,168735.0104445273
Beneteau Oceanis 43,131140.51782078217
Beneteau Oceanis Clipper 423,126992.98054479933
Beneteau Cyclades 43.3,119692.1116347974
Beneteau First 44.7,166368.2695502207
Beneteau First 44.7,166368.2695502207
Beneteau First 44.7,166368.2695502207
Beneteau First 44.7,166368.2695502207
Beneteau First 44.7,166368.2695502207
Beneteau Oceanis Clipper 473,163461.34952810005
Beneteau Oceanis 473,205480.29975333376
Beneteau First 47.7,150092.32510996517
Beneteau Oceanis Clipper 473,163461.34952810005
Beneteau Oceanis 473,205480.29975333376
Beneteau Oceanis 473,205480.29975333376
Beneteau Oceanis 523,312256.9966051786
Beneteau Oceanis Clipper 523,236791.5558241554
Beneteau Oceanis Clipper 523,236791.5558241554
Beneteau Oceanis 523,312256.9966051786
Beneteau 56,458563.03853002505
Beneteau Cyclades 50.5,169633.52267042478
C&C 121,217589.91801065183
Cabo Rico 42,337686.2034913809
Caliber 40 LRC SE,304790.63691053994
Catalina 387,164622.66623134847
Catalina 42 MK II,185371.9119339823
Catalina 42 Mk II,165698.57648278552
Catalina 42 MK II,185371.9119339823
Catalina Morgan 440,231812.63812604977
Catalina Morgan 440,231812.63812604977
Catalina Morgan 440,231812.63812604977
Comar Comet 41S,150506.2750253866
Comar Comet 45s,174609.3602785458
Comar Comet 51S,235859.70425789556
Comar Comet 52 RS,294547.8598502463
Dehler 41 CR,197091.10914129566
Delphia 40,129747.5170581135
Dufour 385,99701.50582345606
Dufour 385 GL,106060.86510670555
Dufour 385,99701.50582345606
Dufour 40,114212.93619581286
Dufour 44,178681.45149260864
Dufour 44,178681.45149260864
Dufour 44 Performance,153368.38144862573
Dufour 455,165678.85026274854
Dufour 455 GL,158804.7887159619
Elan Impression 434,151970.76340046254
Elan Impression 434,151970.76340046254
Grand Soleil 43,216910.91229102973
Grand Soleil 45 RACING,264448.8306405391
Grand Soleil 50,320553.26407024096
Grand Soleil 50,320553.26407024096
Hallberg-Rassy 40,375975.5047289978
Hallberg-Rassy 43,406212.2609496942
Hanse 411,118739.00399385473
Hanse 411,118739.00399385473
Hanse 411,118739.00399385473
Hanse 411,118739.00399385473
Hanse 411,118739.00399385473
Hanse 461,208709.46499671414
Hanse 461,208709.46499671414
Hanse 461,208709.46499671414
Hanse 461,208709.46499671414
Hanse 531,284445.7385014396
Hanse 531,284445.7385014396
Hanse 531,284445.7385014396
Hanse 531,284445.7385014396
Harmony 42 Elegance,97991.95496347742
Hunter 38,118150.35943801019
Hunter 38,118150.35943801019
Hunter 38,118150.35943801019
Hunter 41 DS,146477.8933270125
Hunter 41 DS,146477.8933270125
Hunter 41 Deck Salon,109230.48430009795
Hunter 41 Aft Cockpit,146982.04845608657
Hunter 41 DS,146477.8933270125
Hunter 44 DS,184412.54964152363
Hunter 44,184872.91486444348
Hunter 44,184872.91486444348
Hunter 44 DS,184412.54964152363
Hunter Passage 456,167693.69019209238
Hunter 466,198878.8325786921
Hylas 49,547186.2762935363
Island Packet 370,199937.95062201048
Island Packet 420,345105.3768305447
Island Packet 420,345105.3768305447
J Boats J 122,232390.75295789418
Jeanneau Sun Odyssey 40.3,130676.2957163176
Jeanneau Sun Odyssey 40.3,130676.2957163176
Jeanneau Sun Odyssey 40.3,130676.2957163176
Jeanneau Sun Odyssey 40,121486.72355775902
Jeanneau Sun Odyssey 40.3,130676.2957163176
Jeanneau Sun Odyssey 40.3,130676.2957163176
Jeanneau SUN ODYSSEY 40.3,142945.63191321728
