,Make,Variant,Length,Geo_Region,CRS,Price,Year
0,Alubat,Ovni 395,41,Europe,France,"$267,233",2005
1,Bavaria,38 Cruiser,38,Europe,Croatia,"$75,178",2005
2,Bavaria,38 Cruiser,38,Europe,Croatia,"$66,825",2005
3,Bavaria,38 Cruiser,38,Europe,Croatia,"$54,661",2005
4,Bavaria,38 Cruiser ,38,Europe,Croatia,"$53,447",2005
5,Bavaria,38 Cruiser,38,Europe,Greece,"$91,101",2005
6,Bavaria,39 Cruiser,39,Europe,Greece,"$66,748",2005
7,Bavaria,42 Match,41,Europe,Croatia,"$78,945",2005
8,Bavaria,42 Match,41,Europe,Croatia,"$58,297",2005
9,Bavaria,42 Cruiser,42,Europe,Croatia,"$112,906",2005
10,Bavaria,42 Cruiser,42,Europe,Italy,"$95,961",2005
11,Bavaria,42 Cruiser,42,Europe,Italy,"$94,746",2005
12,Bavaria,42 Cruiser,42,Europe,Italy,"$91,102",2005
13,Bavaria,Cruiser 46,46,Europe,Croatia,"$101,063",2005
14,Bavaria,Cruiser 46,46,Europe,Croatia,"$91,106",2005
15,Bavaria,Cruiser 46,46,Europe,Croatia,"$84,907",2005
16,Bavaria,Cruiser 46,46,Europe,Croatia,"$84,786",2005
17,Bavaria,Cruiser 46,46,Europe,Greece,"$133,651",2005
18,Bavaria,Cruiser 46,46,Europe,Greece,"$109,338",2005
19,Bavaria,Cruiser 46,46,Europe,Greece,"$105,705",2005
20,Bavaria,Cruiser 46,46,Europe,Greece,"$103,253",2005
21,Bavaria,Cruiser 46,46,Europe,Greece,"$96,933",2005
22,Bavaria,Cruiser 46,46,Europe,Italy,"$115,396",2005
23,Bavaria,Cruiser 46,46,Europe,Italy,"$103,249",2005
24,Bavaria,Cruiser 46,46,Europe,Netherlands,"$133,015",2005
25,Bavaria,Cruiser 46,46,Europe,Spain,"$145,769",2005
26,Bavaria,50 Cruiser,49,Europe,Croatia,"$103,249",2005
27,Bavaria,50 Cruiser,49,Europe,Greece,"$109,323",2005
28,Bavaria,50 Cruiser,49,Europe,Italy,"$151,843",2005
29,Bavaria,50 Cruiser,49,Europe,Italy,"$136,896",2005
30,Bavaria,49 Cruiser,50,Europe,Croatia,"$103,249",2005
31,Bavaria,49 Cruiser,50,Europe,Spain,"$145,744",2005
32,Beneteau,First 40.7,39,Europe,Croatia,"$157,889",2005
33,Beneteau,Cyclades 39.3,39,USA,Florida,"$72,900",2005
34,Beneteau,Cyclades 39.3 ,39,Europe,Greece,"$78,975",2005
35,Beneteau,First 40.7,39,USA,Illinois,"$124,500",2005
36,Beneteau,Cyclades 39.3 ,39,Europe,Italy,"$103,275",2005
37,Beneteau,Cyclades 39.3 ,39,Europe,Italy,"$82,620",2005
38,Beneteau,Cyclades 39.3,39,Caribbean,Mexico,"$99,000",2005
39,Beneteau,Cyclades 39.3 ,39,Europe,Portugal,"$101,427",2005
40,Beneteau,Cyclades 39.3 ,39,Europe,Spain,"$108,108",2005
41,Beneteau,Cyclades 39.3 ,39,Europe,Spain,"$103,249",2005
42,Beneteau,Cyclades 39.3 ,39,Europe,United Kingdom,"$95,860",2005
43,Beneteau,Oceanis 423,43,USA,Connecticut,"$139,995",2005
44,Beneteau,Cyclades 43.3,43,Europe,France,"$108,108",2005
45,Beneteau,Cyclades 43.3,43,Europe,France,"$106,519",2005
46,Beneteau,Cyclades 43.3,43,Europe,France,"$95,961",2005
47,Beneteau,Oceanis Clipper 423,43,Europe,Greece,"$103,921",2005
48,Beneteau,Oceanis Clipper 423,43,Europe,Italy,"$91,090",2005
49,Beneteau,Oceanis Clipper 423,43,Europe,Malta,"$127,526",2005
50,Beneteau,Oceanis 423,43,USA,Maryland,"$147,900",2005
51,Beneteau,Oceanis 43,43,USA,Maryland,"$144,900",2005
52,Beneteau,Oceanis Clipper 423,43,Europe,Netherlands,"$108,108",2005
53,Beneteau,Cyclades 43.3,43,Europe,Portugal,"$101,792",2005
54,Beneteau,First 44.7,44,USA,California,"$180,000",2005
55,Beneteau,First 44.7,44,USA,California,"$149,000",2005
56,Beneteau,First 44.7,44,Europe,Greece,"$131,187",2005
57,Beneteau,First 44.7,44,Europe,Italy,"$119,040",2005
58,Beneteau,First 44.7,44,USA,Texas,"$129,900",2005
59,Beneteau,Oceanis Clipper 473,47,Europe,Croatia,"$144,549",2005
60,Beneteau,Oceanis 473,47,Europe,Croatia,"$102,034",2005
61,Beneteau,First 47.7,47,Europe,Italy,"$127,543",2005
62,Beneteau,Oceanis Clipper 473,47,Europe,Malta,"$133,611",2005
63,Beneteau,Oceanis 473,47,USA,Maryland,"$195,000",2005
64,Beneteau,Oceanis 473,47,USA,North Carolina,"$185,000",2005
65,Beneteau,Oceanis 523,53,Europe,Italy,"$224,719",2005
66,Beneteau,Oceanis Clipper 523,53,Europe,Spain,"$224,719",2005
67,Beneteau,Oceanis Clipper 523,53,Europe,Spain,"$223,504",2005
68,Beneteau,Oceanis 523,53,Europe,Spain,"$212,572",2005
69,Beneteau,56,56,Europe,Spain,"$461,603",2005
70,Beneteau ,Cyclades 50.5,51,Caribbean,Grenada,"$105,000",2005
71,C&C,121,40,USA,Rhode Island,"$184,900",2005
72,Cabo Rico,42,46,USA,Rhode Island,"$270,000",2005
73,Caliber,40 LRC SE,41,USA,Florida,"$259,000",2005
74,Catalina,387,38,USA,Maryland,"$125,000",2005
75,Catalina,42 MK II,42,Caribbean,Mexico,"$165,000",2005
76,Catalina,42 Mk II,42,Europe,United Kingdom,"$119,242",2005
77,Catalina,42 MK II,42,USA,Washington,"$159,500",2005
78,Catalina,Morgan 440,46,USA,California,"$199,900",2005
79,Catalina,Morgan 440,46,Caribbean,Grenada,"$179,950",2005
80,Catalina,Morgan 440,46,USA,Washington,"$194,950",2005
81,Comar,Comet 41S,41,Europe,Italy,"$150,622",2005
82,Comar,Comet 45s,46,Europe,Italy,"$163,984",2005
83,Comar,Comet 51S,51,Europe,Italy,"$200,425",2005
84,Comar,Comet 52 RS,52,Europe,Italy,"$255,086",2005
85,Dehler,41 CR,41,Europe,Italy,"$176,176",2005
86,Delphia,40,39,Europe,Italy,"$85,017",2005
87,Dufour,385,38,Europe,Croatia,"$87,458",2005
88,Dufour,385 GL,38,Caribbean,Netherlands Antilles,"$86,000",2005
89,Dufour,385,38,Europe,Turkey,"$98,591",2005
90,Dufour,40,40,Europe,France,"$97,054",2005
91,Dufour,44,44,Europe,France,"$163,984",2005
92,Dufour,44,44,Europe,Italy,"$139,690",2005
93,Dufour,44 Performance,44,Europe,Italy,"$133,617",2005
94,Dufour,455,45,Europe,France,"$139,726",2005
95,Dufour,455 GL,45,Europe,Italy,"$127,548",2005
96,Elan,Impression 434,44,Europe,Croatia,"$127,543",2005
97,Elan,Impression 434,44,Europe,Croatia,"$91,102",2005
98,Grand Soleil,43,43,Europe,France,"$181,597",2005
99,Grand Soleil,45 RACING,45,Europe,France,"$224,719",2005
100,Grand Soleil,50,49,Caribbean,Grenada,"$230,000",2005
101,Grand Soleil,50,49,Europe,United Kingdom,"$252,527",2005
102,Hallberg-Rassy,40,40,Europe,United Kingdom,"$299,771",2005
103,Hallberg-Rassy,43,44,Europe,Greece,"$339,508",2005
104,Hanse,411,40,Europe,Greece,"$108,108",2005
105,Hanse,411,40,Europe,Italy,"$120,239",2005
106,Hanse,411,40,Europe,Italy,"$103,249",2005
107,Hanse,411,40,Europe,Italy,"$83,814",2005
108,Hanse,411,40,Europe,United Kingdom,"$93,256",2005
109,Hanse,461,46,Europe,France,"$303,674",2005
110,Hanse,461,46,Europe,Germany,"$132,436",2005
111,Hanse,461,46,Europe,Spain,"$179,942",2005
112,Hanse,461,46,Europe,Spain,"$170,057",2005
113,Hanse,531,53,Europe,Estonia,"$236,875",2005
114,Hanse,531,53,Europe,Ireland,"$200,433",2005
