CRS,Price
Belgium,560257.4268525009
Gibraltar,464668.42359282624
Maine,439029.301527208
Netherlands,381264.15038746916
Monaco,361952.3500734981
Denmark,357309.22010981955
Norway,344552.13066403056
Bulgaria,343147.31143221987
Sweden,333433.12807557936
Maryland,330981.4420808598
Connecticut,321340.4406617388
Rhode Island,318157.96440762695
United Kingdom,317740.01733598474
Jersey,315293.0462955801
Estonia,313726.6970844648
Washington,291280.8470297971
Oregon,281512.03666157555
Nowhere,278397.6156180981
Puerto Rico,269195.283858025
Hawaii,268644.9402516629
California,266113.5329945058
France,262754.9137393261
Michigan,260702.99156719257
Hungary,256258.730544818
Spain,248518.80218269967
Dominican Republic,246987.77167803483
Trinidad and Tobago,244493.4879163291
Cyprus,235320.61452842428
Portugal,235167.2112650135
Malta,235161.92118628861
Florida,234448.06258913397
Texas,232048.7704465544
Alabama,231933.9026918883
Georgia,231267.51907035868
Italy,231061.75029307016
Illinois,226313.74110224601
Turkey,225611.41703151024
Mexico,223434.14974121255
South Carolina,221317.04884843537
Switzerland,220776.8055976301
Ireland,220345.68812969027
Virginia,218113.58113516384
Louisiana,215962.33488952476
Romania,215124.10221049443
Wisconsin,212241.5209562545
Martinique,210195.82406893486
Antigua and Barbuda,207873.84922241492
Germany,206566.98202885594
Panama,206003.58227474053
New York,205280.02289185024
Guadeloupe,202768.73885539424
Massachusetts,199529.10293316306
North Carolina,198523.4144058864
Grenada,197989.2292530854
Slovenia,195434.86304476074
Mississippi,192172.45390135868
Ohio,191167.79279431474
New Jersey,190939.43035643603
Sint Maarten (Dutch part),177548.62376068294
Greece,173010.34274126383
Aruba,164944.64089360504
Croatia,164230.4592980317
West Indies,152601.3656387182
Saint Kitts and Nevis,151582.8547974445
Saint Lucia,145202.17130047557
Guatemala,142446.0
British Virgin Islands,142242.08021159456
Bahamas,129685.77557874538
Cork,126458.00702395622
Netherlands Antilles,123112.84737377042
Belize,120756.14404077349
Saint Vincent and the Grenadines,115390.33777599908
U.S. Virgin Islands,114527.35442184983
